시도,2015_고령화율(%),2024_고령화율(%),변화폭(%p),CAGR(%),CAGR_순위
전국,13.15,20.03,6.88,4.79,0
울산광역시,8.79,17.19,8.4,7.74,1
인천광역시,10.69,17.66,6.97,5.74,2
대전광역시,10.9,18.01,7.11,5.74,3
대구광역시,12.71,20.87,8.16,5.66,4
부산광역시,14.65,23.9,9.25,5.59,5
경상남도,13.79,21.82,8.03,5.23,6
경기도,10.53,16.57,6.04,5.17,7
광주광역시,11.3,17.54,6.24,5.01,8
서울특별시,12.6,19.44,6.84,4.94,9
강원특별자치도,16.89,25.36,8.47,4.62,10
충청북도,14.82,21.95,7.13,4.46,11
경상북도,17.75,26.04,8.29,4.35,12
전북특별자치도,17.84,25.26,7.42,3.94,13
제주특별자치도,13.76,18.94,5.18,3.61,14
충청남도,16.42,22.26,5.84,3.44,15
전라남도,20.53,27.2,6.67,3.18,16
세종특별자치시,10.62,11.6,0.98,0.99,17
