시도,기준연도,총인구수,고령인구수_65세이상,고령인구비율,노인복지관수,경로당수,노인복지시설_합계,요양병원수,인구10만명당_노인복지관수,고령인구1만명당_노인복지관수,인구10만명당_경로당수,고령인구10만명당_노인복지시설수,고령인구10만명당_요양병원수
전라남도,2024,1788819,486492,27.2,33,9275,10269,79,1.84,0.68,518.5,2110.83,16.24
경상북도,2024,2531384,659227,26.04,23,8090,9186,103,0.91,0.35,319.59,1393.45,15.62
강원특별자치도,2024,1517766,384970,25.36,17,3350,4149,32,1.12,0.44,220.72,1077.75,8.31
전북특별자치도,2024,1738690,439263,25.26,32,6880,7914,74,1.84,0.73,395.7,1801.65,16.85
부산광역시,2024,3266598,780576,23.9,34,2423,3424,160,1.04,0.44,74.18,438.65,20.5
충청남도,2024,2136574,475648,22.26,19,5954,6862,66,0.89,0.4,278.67,1442.66,13.88
충청북도,2024,1591177,349187,21.95,25,4275,4877,36,1.57,0.72,268.67,1396.67,10.31
경상남도,2024,3228380,704330,21.82,20,7599,9121,113,0.62,0.28,235.38,1294.99,16.04
대구광역시,2024,2363629,493256,20.87,24,1843,2631,71,1.02,0.49,77.97,533.39,14.39
서울특별시,2024,9331828,1813648,19.44,91,3611,6167,107,0.98,0.5,38.7,340.03,5.9
제주특별자치도,2024,670368,126985,18.94,2,473,641,10,0.3,0.16,70.56,504.78,7.87
대전광역시,2024,1439157,259245,18.01,8,856,1470,45,0.56,0.31,59.48,567.03,17.36
인천광역시,2024,3021010,533369,17.66,27,1569,2767,62,0.89,0.51,51.94,518.78,11.62
광주광역시,2024,1408422,246980,17.54,10,1389,2127,60,0.71,0.4,98.62,861.2,24.29
울산광역시,2024,1098049,188702,17.19,16,854,1235,36,1.46,0.85,77.77,654.47,19.08
경기도,2024,13694685,2269603,16.57,73,10296,14569,285,0.53,0.32,75.18,641.92,12.56
세종특별자치시,2024,390685,45301,11.6,0,523,586,3,0.0,0.0,133.87,1293.57,6.62
