시도,연도,총인구수,고령인구수_65세이상,고령인구비율,노인복지시설_합계,요양병원수,고령인구10만명당_노인복지시설수,고령인구10만명당_요양병원수
전라남도,2015,1908996,391837,20.53,9108,67,2324.44,17.1
전북특별자치도,2015,1869711,333524,17.84,6808,82,2041.23,24.59
경상북도,2015,2702826,479634,17.75,8033,112,1674.82,23.35
강원특별자치도,2015,1549507,261671,16.89,3233,30,1235.52,11.46
충청남도,2015,2077649,341214,16.42,5756,67,1686.92,19.64
충청북도,2015,1583952,234813,14.82,4164,37,1773.33,15.76
부산광역시,2015,3513777,514630,14.65,2441,179,474.32,34.78
경상남도,2015,3364702,464019,13.79,7463,108,1608.34,23.27
제주특별자치도,2015,624395,85893,13.76,467,8,543.7,9.31
대구광역시,2015,2487829,316122,12.71,1609,61,508.98,19.3
서울특별시,2015,10022181,1262436,12.6,3948,102,312.73,8.08
광주광역시,2015,1472199,166389,11.3,1561,49,938.16,29.45
대전광역시,2015,1518775,165528,10.9,915,52,552.78,31.41
인천광역시,2015,2925815,312905,10.69,1598,60,510.7,19.18
세종특별자치시,2015,210884,22399,10.62,431,6,1924.19,26.79
경기도,2015,12522606,1318882,10.53,9788,272,742.14,20.62
울산광역시,2015,1173534,103205,8.79,839,43,812.95,41.66
전라남도,2016,1903914,398916,20.95,9179,72,2300.99,18.05
전북특별자치도,2016,1864791,341203,18.3,6860,84,2010.53,24.62
경상북도,2016,2700398,492417,18.23,8084,112,1641.7,22.74
강원특별자치도,2016,1550806,266152,17.16,3297,30,1238.77,11.27
충청남도,2016,2096727,350108,16.7,5778,71,1650.35,20.28
부산광역시,2016,3498529,536064,15.32,2485,186,463.56,34.7
충청북도,2016,1591625,240690,15.12,4191,39,1741.24,16.2
경상남도,2016,3373871,480278,14.24,7516,117,1564.93,24.36
제주특별자치도,2016,641597,89189,13.9,475,10,532.58,11.21
대구광역시,2016,2484557,328901,13.24,1638,62,498.02,18.85
서울특별시,2016,9930616,1295899,13.05,3961,109,305.66,8.41
광주광역시,2016,1469214,172572,11.75,1511,55,875.58,31.87
대전광역시,2016,1514370,171568,11.33,930,52,542.06,30.31
인천광역시,2016,2943069,324255,11.02,1605,64,494.98,19.74
경기도,2016,12716780,1374475,10.81,9908,271,720.86,19.72
세종특별자치시,2016,243048,24197,9.96,453,6,1872.13,24.8
울산광역시,2016,1172304,108768,9.28,856,46,787.0,42.29
전라남도,2017,1896424,408451,21.54,9223,74,2258.04,18.12
경상북도,2017,2691706,512681,19.05,8158,117,1591.24,22.82
전북특별자치도,2017,1854607,351282,18.94,6923,82,1970.78,23.34
강원특별자치도,2017,1550142,279976,18.06,3342,30,1193.67,10.72
충청남도,2017,2116770,362946,17.15,5856,74,1613.46,20.39
부산광역시,2017,3470653,565527,16.29,2513,182,444.36,32.18
충청북도,2017,1594432,252434,15.83,4216,41,1670.14,16.24
경상남도,2017,3380404,504460,14.92,7554,121,1497.44,23.99
제주특별자치도,2017,657083,93117,14.17,484,9,519.78,9.67
대구광역시,2017,2475231,347459,14.04,1652,61,475.45,17.56
서울특별시,2017,9857426,1359901,13.8,3992,114,293.55,8.38
광주광역시,2017,1463770,180862,12.36,1541,57,852.03,31.52
대전광역시,2017,1502227,180667,12.03,932,52,515.87,28.78
인천광역시,2017,2948542,345024,11.7,1599,69,463.45,20.0
경기도,2017,12873895,1467835,11.4,10061,290,685.43,19.76
울산광역시,2017,1165132,116633,10.01,855,43,733.07,36.87
세종특별자치시,2017,280100,26851,9.59,462,6,1720.61,22.35
전라남도,2018,1882970,413132,21.94,9307,77,2252.79,18.64
경상북도,2018,2676831,529349,19.78,8226,117,1553.98,22.1
전북특별자치도,2018,1836832,358410,19.51,6968,86,1944.14,23.99
강원특별자치도,2018,1543052,289386,18.75,3398,33,1174.21,11.4
충청남도,2018,2126282,372515,17.52,5896,75,1582.76,20.13
부산광역시,2018,3441453,589961,17.14,2561,169,434.1,28.65
충청북도,2018,1599252,261763,16.37,4246,46,1622.08,17.57
경상남도,2018,3373988,523165,15.51,7640,126,1460.34,24.08
대구광역시,2018,2461769,362934,14.74,1676,63,461.79,17.36
서울특별시,2018,9765623,1410297,14.44,4107,118,291.22,8.37
제주특별자치도,2018,667191,96207,14.42,492,8,511.4,8.32
광주광역시,2018,1459336,187186,12.83,1562,60,834.46,32.05
대전광역시,2018,1489936,188530,12.65,962,51,510.26,27.05
인천광역시,2018,2954642,362675,12.27,1667,68,459.64,18.75
경기도,2018,13077153,1551801,11.87,10300,304,663.74,19.59
울산광역시,2018,1155623,123919,10.72,865,42,698.04,33.89
세종특별자치시,2018,314126,29178,9.29,488,5,1672.49,17.14
전라남도,2019,1868745,422548,22.61,9473,83,2241.88,19.64
경상북도,2019,2665836,549415,20.61,8343,114,1518.52,20.75
전북특별자치도,2019,1818917,370676,20.38,7076,83,1908.94,22.39
강원특별자치도,2019,1541502,302886,19.65,3541,32,1169.09,10.57
충청남도,2019,2123709,386674,18.21,6025,72,1558.16,18.62
부산광역시,2019,3413841,620123,18.16,2629,170,423.95,27.41
충청북도,2019,1600007,273425,17.09,4312,43,1577.03,15.73
경상남도,2019,3362553,548257,16.3,7760,128,1415.39,23.35
대구광역시,2019,2438031,379277,15.56,1691,68,445.85,17.93
서울특별시,2019,9729107,1478664,15.2,4391,123,296.96,8.32
제주특별자치도,2019,670989,100397,14.96,506,9,504.0,8.96
대전광역시,2019,1474870,198691,13.47,1032,51,519.4,25.67
광주광역시,2019,1456468,195479,13.42,1624,63,830.78,32.23
인천광역시,2019,2957026,384548,13.0,1790,68,465.48,17.68
경기도,2019,13239666,1651341,12.47,10855,314,657.34,19.01
울산광역시,2019,1148019,132565,11.55,909,42,685.7,31.68
세종특별자치시,2019,340575,31949,9.38,210,5,657.3,15.65
전라남도,2020,1851549,435880,23.54,9616,83,2206.11,19.04
경상북도,2020,2639422,573715,21.74,8573,114,1494.3,19.87
전북특별자치도,2020,1804104,386203,21.41,7271,83,1882.69,21.49
강원특별자치도,2020,1542840,319691,20.72,3621,32,1132.66,10.01
부산광역시,2020,3391946,657711,19.39,2698,168,410.21,25.54
충청남도,2020,2121029,405188,19.1,6170,69,1522.75,17.03
충청북도,2020,1600837,288148,18.0,4426,44,1536.02,15.27
