연도,시도,총인구 (명),65세이상 인구 (명),고령화율 (%),고령화 단계,위험순위,전년대비_증감(%p),전년대비_순위변화
2015,전라남도,1908996,391837,20.53,초고령사회,1,,0
2015,전북특별자치도,1869711,333524,17.84,고령사회,2,,0
2015,경상북도,2702826,479634,17.75,고령사회,3,,0
2015,강원특별자치도,1549507,261671,16.89,고령사회,4,,0
2015,충청남도,2077649,341214,16.42,고령사회,5,,0
2015,충청북도,1583952,234813,14.82,고령사회,6,,0
2015,부산광역시,3513777,514630,14.65,고령사회,7,,0
2015,경상남도,3364702,464019,13.79,고령화사회,8,,0
2015,제주특별자치도,624395,85893,13.76,고령화사회,9,,0
2015,대구광역시,2487829,316122,12.71,고령화사회,10,,0
2015,서울특별시,10022181,1262436,12.6,고령화사회,11,,0
2015,광주광역시,1472199,166389,11.3,고령화사회,12,,0
2015,대전광역시,1518775,165528,10.9,고령화사회,13,,0
2015,인천광역시,2925815,312905,10.69,고령화사회,14,,0
2015,세종특별자치시,210884,22399,10.62,고령화사회,15,,0
2015,경기도,12522606,1318882,10.53,고령화사회,16,,0
2015,울산광역시,1173534,103205,8.79,고령화사회,17,,0
2016,전라남도,1903914,398916,20.95,초고령사회,1,0.42,0
2016,전북특별자치도,1864791,341203,18.3,고령사회,2,0.46,0
2016,경상북도,2700398,492417,18.23,고령사회,3,0.48,0
2016,강원특별자치도,1550806,266152,17.16,고령사회,4,0.27,0
2016,충청남도,2096727,350108,16.7,고령사회,5,0.28,0
2016,부산광역시,3498529,536064,15.32,고령사회,6,0.67,1
2016,충청북도,1591625,240690,15.12,고령사회,7,0.3,-1
2016,경상남도,3373871,480278,14.24,고령사회,8,0.45,0
2016,제주특별자치도,641597,89189,13.9,고령화사회,9,0.14,0
2016,대구광역시,2484557,328901,13.24,고령화사회,10,0.53,0
2016,서울특별시,9930616,1295899,13.05,고령화사회,11,0.45,0
2016,광주광역시,1469214,172572,11.75,고령화사회,12,0.45,0
2016,대전광역시,1514370,171568,11.33,고령화사회,13,0.43,0
2016,인천광역시,2943069,324255,11.02,고령화사회,14,0.33,0
2016,경기도,12716780,1374475,10.81,고령화사회,15,0.28,1
2016,세종특별자치시,243048,24197,9.96,고령화사회,16,-0.66,-1
2016,울산광역시,1172304,108768,9.28,고령화사회,17,0.49,0
2017,전라남도,1896424,408451,21.54,초고령사회,1,0.59,0
2017,경상북도,2691706,512681,19.05,고령사회,2,0.82,1
2017,전북특별자치도,1854607,351282,18.94,고령사회,3,0.64,-1
2017,강원특별자치도,1550142,279976,18.06,고령사회,4,0.9,0
2017,충청남도,2116770,362946,17.15,고령사회,5,0.45,0
2017,부산광역시,3470653,565527,16.29,고령사회,6,0.97,0
2017,충청북도,1594432,252434,15.83,고령사회,7,0.71,0
2017,경상남도,3380404,504460,14.92,고령사회,8,0.68,0
2017,제주특별자치도,657083,93117,14.17,고령사회,9,0.27,0
2017,대구광역시,2475231,347459,14.04,고령사회,10,0.8,0
2017,서울특별시,9857426,1359901,13.8,고령화사회,11,0.75,0
2017,광주광역시,1463770,180862,12.36,고령화사회,12,0.61,0
2017,대전광역시,1502227,180667,12.03,고령화사회,13,0.7,0
2017,인천광역시,2948542,345024,11.7,고령화사회,14,0.68,0
2017,경기도,12873895,1467835,11.4,고령화사회,15,0.59,0
2017,울산광역시,1165132,116633,10.01,고령화사회,16,0.73,1
2017,세종특별자치시,280100,26851,9.59,고령화사회,17,-0.37,-1
2018,전라남도,1882970,413132,21.94,초고령사회,1,0.4,0
2018,경상북도,2676831,529349,19.78,고령사회,2,0.73,0
2018,전북특별자치도,1836832,358410,19.51,고령사회,3,0.57,0
2018,강원특별자치도,1543052,289386,18.75,고령사회,4,0.69,0
2018,충청남도,2126282,372515,17.52,고령사회,5,0.37,0
2018,부산광역시,3441453,589961,17.14,고령사회,6,0.85,0
2018,충청북도,1599252,261763,16.37,고령사회,7,0.54,0
2018,경상남도,3373988,523165,15.51,고령사회,8,0.59,0
2018,대구광역시,2461769,362934,14.74,고령사회,9,0.7,1
2018,서울특별시,9765623,1410297,14.44,고령사회,10,0.64,1
2018,제주특별자치도,667191,96207,14.42,고령사회,11,0.25,-2
2018,광주광역시,1459336,187186,12.83,고령화사회,12,0.47,0
2018,대전광역시,1489936,188530,12.65,고령화사회,13,0.62,0
2018,인천광역시,2954642,362675,12.27,고령화사회,14,0.57,0
2018,경기도,13077153,1551801,11.87,고령화사회,15,0.47,0
2018,울산광역시,1155623,123919,10.72,고령화사회,16,0.71,0
2018,세종특별자치시,314126,29178,9.29,고령화사회,17,-0.3,0
2019,전라남도,1868745,422548,22.61,초고령사회,1,0.67,0
2019,경상북도,2665836,549415,20.61,초고령사회,2,0.83,0
2019,전북특별자치도,1818917,370676,20.38,초고령사회,3,0.87,0
2019,강원특별자치도,1541502,302886,19.65,고령사회,4,0.9,0
2019,충청남도,2123709,386674,18.21,고령사회,5,0.69,0
2019,부산광역시,3413841,620123,18.16,고령사회,6,1.02,0
2019,충청북도,1600007,273425,17.09,고령사회,7,0.72,0
2019,경상남도,3362553,548257,16.3,고령사회,8,0.79,0
2019,대구광역시,2438031,379277,15.56,고령사회,9,0.82,0
2019,서울특별시,9729107,1478664,15.2,고령사회,10,0.76,0
2019,제주특별자치도,670989,100397,14.96,고령사회,11,0.54,0
2019,대전광역시,1474870,198691,13.47,고령화사회,12,0.82,1
2019,광주광역시,1456468,195479,13.42,고령화사회,13,0.59,-1
2019,인천광역시,2957026,384548,13.0,고령화사회,14,0.73,0
2019,경기도,13239666,1651341,12.47,고령화사회,15,0.6,0
2019,울산광역시,1148019,132565,11.55,고령화사회,16,0.83,0
2019,세종특별자치시,340575,31949,9.38,고령화사회,17,0.09,0
2020,전라남도,1851549,435880,23.54,초고령사회,1,0.93,0
2020,경상북도,2639422,573715,21.74,초고령사회,2,1.13,0
2020,전북특별자치도,1804104,386203,21.41,초고령사회,3,1.03,0
2020,강원특별자치도,1542840,319691,20.72,초고령사회,4,1.07,0
2020,부산광역시,3391946,657711,19.39,고령사회,5,1.23,1
2020,충청남도,2121029,405188,19.1,고령사회,6,0.89,-1
2020,충청북도,1600837,288148,18.0,고령사회,7,0.91,0
2020,경상남도,3340216,580258,17.37,고령사회,8,1.07,0
2020,대구광역시,2418346,400494,16.56,고령사회,9,1.0,0
2020,서울특별시,9668465,1561139,16.15,고령사회,10,0.95,0
2020,제주특별자치도,674635,106154,15.74,고령사회,11,0.78,0
2020,대전광역시,1463882,210784,14.4,고령사회,12,0.93,0
2020,광주광역시,1450062,205666,14.18,고령사회,13,0.76,0
2020,인천광역시,2942828,411483,13.98,고령화사회,14,0.98,0
2020,경기도,13427014,1775315,13.22,고령화사회,15,0.75,0
2020,울산광역시,1136017,143367,12.62,고령화사회,16,1.07,0
2020,세종특별자치시,355831,34881,9.8,고령화사회,17,0.42,0
2021,전라남도,1832803,445198,24.29,초고령사회,1,0.75,0
2021,경상북도,2626609,596312,22.7,초고령사회,2,0.96,0
2021,전북특별자치도,1786855,397619,22.25,초고령사회,3,0.84,0
2021,강원특별자치도,1538492,333176,21.66,초고령사회,4,0.94,0
2021,부산광역시,3350380,681885,20.35,초고령사회,5,0.96,0
2021,충청남도,2119257,419979,19.82,고령사회,6,0.72,0
2021,충청북도,1597427,301516,18.88,고령사회,7,0.88,0
2021,경상남도,3314183,608379,18.36,고령사회,8,0.99,0
2021,대구광역시,2385412,417060,17.48,고령사회,9,0.92,0
2021,서울특별시,9509458,1597447,16.8,고령사회,10,0.65,0
2021,제주특별자치도,676759,110645,16.35,고령사회,11,0.61,0
2021,대전광역시,1452251,221207,15.23,고령사회,12,0.83,0
2021,광주광역시,1441611,213291,14.8,고령사회,13,0.62,0
2021,인천광역시,2948375,435431,14.77,고령사회,14,0.79,0
2021,경기도,13565450,1881464,13.87,고령화사회,15,0.65,0
2021,울산광역시,1121592,152961,13.64,고령화사회,16,1.02,0
2021,세종특별자치시,371895,37463,10.07,고령화사회,17,0.27,0
2022,전라남도,1817697,457481,25.17,초고령사회,1,0.88,0
2022,경상북도,2600492,618275,23.78,초고령사회,2,1.08,0
2022,전북특별자치도,1769607,410619,23.2,초고령사회,3,0.95,0
2022,강원특별자치도,1536498,349874,22.77,초고령사회,4,1.11,0
2022,부산광역시,3317812,712412,21.47,초고령사회,5,1.12,0
2022,충청남도,2123037,436895,20.58,초고령사회,6,0.76,0
2022,충청북도,1595058,316939,19.87,고령사회,7,0.99,0
2022,경상남도,3280493,638801,19.47,고령사회,8,1.11,0
2022,대구광역시,2363691,435698,18.43,고령사회,9,0.95,0
2022,서울특별시,9428372,1658207,17.59,고령사회,10,0.79,0
2022,제주특별자치도,678159,115768,17.07,고령사회,11,0.72,0
2022,대전광역시,1446072,232663,16.09,고령사회,12,0.86,0
2022,인천광역시,2967314,463850,15.63,고령사회,13,0.86,1
2022,광주광역시,1431050,222970,15.58,고령사회,14,0.78,-1
2022,울산광역시,1110663,163812,14.75,고령사회,15,1.11,1
2022,경기도,13589432,1992807,14.66,고령사회,16,0.79,-1
2022,세종특별자치시,383591,40219,10.48,고령화사회,17,0.41,0
2023,전라남도,1804217,470874,26.1,초고령사회,1,0.93,0
