시도,연도,요양병원수
강원특별자치도,2015,29
강원특별자치도,2016,31
강원특별자치도,2017,30
강원특별자치도,2018,32
강원특별자치도,2019,33
강원특별자치도,2020,32
강원특별자치도,2021,33
강원특별자치도,2022,33
강원특별자치도,2023,30
강원특별자치도,2024,32
경기도,2015,281
경기도,2016,281
경기도,2017,313
경기도,2018,331
경기도,2019,343
경기도,2020,350
경기도,2021,319
경기도,2022,313
경기도,2023,306
경기도,2024,294
경상남도,2015,103
경상남도,2016,115
경상남도,2017,135
경상남도,2018,141
경상남도,2019,146
경상남도,2020,147
경상남도,2021,129
경상남도,2022,127
경상남도,2023,121
경상남도,2024,115
경상북도,2015,110
경상북도,2016,112
경상북도,2017,119
경상북도,2018,119
경상북도,2019,118
경상북도,2020,117
경상북도,2021,113
경상북도,2022,111
경상북도,2023,108
경상북도,2024,104
광주광역시,2015,45
광주광역시,2016,52
광주광역시,2017,59
광주광역시,2018,63
광주광역시,2019,65
광주광역시,2020,65
광주광역시,2021,59
광주광역시,2022,60
광주광역시,2023,62
광주광역시,2024,62
대구광역시,2015,62
대구광역시,2016,61
대구광역시,2017,64
대구광역시,2018,64
대구광역시,2019,66
대구광역시,2020,71
대구광역시,2021,74
대구광역시,2022,76
대구광역시,2023,73
대구광역시,2024,72
대전광역시,2015,52
대전광역시,2016,52
대전광역시,2017,52
대전광역시,2018,51
대전광역시,2019,52
대전광역시,2020,51
대전광역시,2021,49
대전광역시,2022,47
대전광역시,2023,47
대전광역시,2024,46
부산광역시,2015,184
부산광역시,2016,195
부산광역시,2017,198
부산광역시,2018,191
부산광역시,2019,189
부산광역시,2020,187
부산광역시,2021,169
부산광역시,2022,166
부산광역시,2023,162
부산광역시,2024,161
서울특별시,2015,104
서울특별시,2016,107
서울특별시,2017,115
서울특별시,2018,116
서울특별시,2019,121
서울특별시,2020,126
서울특별시,2021,124
서울특별시,2022,124
서울특별시,2023,116
서울특별시,2024,110
세종특별자치시,2015,7
세종특별자치시,2016,7
세종특별자치시,2017,7
세종특별자치시,2018,7
세종특별자치시,2019,6
세종특별자치시,2020,6
세종특별자치시,2021,5
세종특별자치시,2022,5
세종특별자치시,2023,4
세종특별자치시,2024,3
울산광역시,2015,43
울산광역시,2016,44
울산광역시,2017,44
울산광역시,2018,42
울산광역시,2019,42
울산광역시,2020,42
울산광역시,2021,41
울산광역시,2022,40
울산광역시,2023,39
울산광역시,2024,36
인천광역시,2015,62
인천광역시,2016,66
인천광역시,2017,72
인천광역시,2018,72
인천광역시,2019,72
인천광역시,2020,70
인천광역시,2021,67
인천광역시,2022,67
인천광역시,2023,62
인천광역시,2024,63
전라남도,2015,66
전라남도,2016,71
전라남도,2017,79
전라남도,2018,82
전라남도,2019,88
전라남도,2020,90
전라남도,2021,82
전라남도,2022,82
전라남도,2023,82
전라남도,2024,79
전북특별자치도,2015,82
전북특별자치도,2016,82
전북특별자치도,2017,83
전북특별자치도,2018,86
전북특별자치도,2019,84
전북특별자치도,2020,84
전북특별자치도,2021,83
전북특별자치도,2022,84
전북특별자치도,2023,81
전북특별자치도,2024,74
제주특별자치도,2015,8
제주특별자치도,2016,8
제주특별자치도,2017,11
제주특별자치도,2018,9
제주특별자치도,2019,10
제주특별자치도,2020,10
제주특별자치도,2021,9
제주특별자치도,2022,10
제주특별자치도,2023,11
제주특별자치도,2024,11
충청남도,2015,73
충청남도,2016,76
충청남도,2017,89
충청남도,2018,90
충청남도,2019,89
충청남도,2020,86
충청남도,2021,67
충청남도,2022,68
충청남도,2023,68
충청남도,2024,66
충청북도,2015,41
충청북도,2016,43
충청북도,2017,47
충청북도,2018,51
충청북도,2019,50
충청북도,2020,50
충청북도,2021,42
충청북도,2022,40
충청북도,2023,38
충청북도,2024,37
