연도,x,y,설명,pearson_r,pearson_p,spearman_r,spearman_p,n
2015,고령인구비율,고령인구10만명당_노인복지시설수,고령인구비율 vs 고령인구 10만명당 노인복지시설 수,0.638,0.0059,0.49,0.0458,17
2016,고령인구비율,고령인구10만명당_노인복지시설수,고령인구비율 vs 고령인구 10만명당 노인복지시설 수,0.609,0.0095,0.451,0.0692,17
2017,고령인구비율,고령인구10만명당_노인복지시설수,고령인구비율 vs 고령인구 10만명당 노인복지시설 수,0.591,0.0125,0.434,0.0819,17
2018,고령인구비율,고령인구10만명당_노인복지시설수,고령인구비율 vs 고령인구 10만명당 노인복지시설 수,0.56,0.0193,0.417,0.0962,17
2019,고령인구비율,고령인구10만명당_노인복지시설수,고령인구비율 vs 고령인구 10만명당 노인복지시설 수,0.734,0.0008,0.554,0.021,17
2020,고령인구비율,고령인구10만명당_노인복지시설수,고령인구비율 vs 고령인구 10만명당 노인복지시설 수,0.54,0.0254,0.417,0.0962,17
2021,고령인구비율,고령인구10만명당_노인복지시설수,고령인구비율 vs 고령인구 10만명당 노인복지시설 수,0.529,0.029,0.449,0.0709,17
2022,고령인구비율,고령인구10만명당_노인복지시설수,고령인구비율 vs 고령인구 10만명당 노인복지시설 수,0.534,0.0273,0.453,0.0675,17
2023,고령인구비율,고령인구10만명당_노인복지시설수,고령인구비율 vs 고령인구 10만명당 노인복지시설 수,0.517,0.0336,0.456,0.0659,17
2024,고령인구비율,고령인구10만명당_노인복지시설수,고령인구비율 vs 고령인구 10만명당 노인복지시설 수,0.51,0.0365,0.463,0.0611,17
2015,고령인구비율,고령인구10만명당_요양병원수,고령인구비율 vs 고령인구 10만명당 요양병원 수,-0.383,0.1291,-0.311,0.2239,17
2016,고령인구비율,고령인구10만명당_요양병원수,고령인구비율 vs 고령인구 10만명당 요양병원 수,-0.347,0.1723,-0.284,0.2687,17
2017,고령인구비율,고령인구10만명당_요양병원수,고령인구비율 vs 고령인구 10만명당 요양병원 수,-0.289,0.2609,-0.176,0.4981,17
2018,고령인구비율,고령인구10만명당_요양병원수,고령인구비율 vs 고령인구 10만명당 요양병원 수,-0.16,0.5406,-0.056,0.8298,17
2019,고령인구비율,고령인구10만명당_요양병원수,고령인구비율 vs 고령인구 10만명당 요양병원 수,-0.125,0.6337,0.002,0.9926,17
2020,고령인구비율,고령인구10만명당_요양병원수,고령인구비율 vs 고령인구 10만명당 요양병원 수,-0.066,0.8015,0.012,0.9628,17
2021,고령인구비율,고령인구10만명당_요양병원수,고령인구비율 vs 고령인구 10만명당 요양병원 수,-0.004,0.9881,0.027,0.9182,17
2022,고령인구비율,고령인구10만명당_요양병원수,고령인구비율 vs 고령인구 10만명당 요양병원 수,0.082,0.7545,0.064,0.808,17
2023,고령인구비율,고령인구10만명당_요양병원수,고령인구비율 vs 고령인구 10만명당 요양병원 수,0.102,0.6975,0.066,0.8008,17
2024,고령인구비율,고령인구10만명당_요양병원수,고령인구비율 vs 고령인구 10만명당 요양병원 수,0.208,0.4235,0.125,0.6326,17
