시도,기간,고령인구비율_시작,고령인구비율_종료,고령화_증가폭,시설_시작,시설_종료,시설_증가율,요양병원_시작,요양병원_종료,요양병원_증가율,공급_증가율_평균,격차점수
울산광역시,2015~2024,8.79,17.19,8.4,812.95,654.47,-19.5,41.66,19.08,-54.2,-36.85,2.186
부산광역시,2015~2024,14.65,23.9,9.25,474.32,438.65,-7.5,34.78,20.5,-41.1,-24.3,1.516
경상북도,2015~2024,17.75,26.04,8.29,1674.82,1393.45,-16.8,23.35,15.62,-33.1,-24.950000000000003,1.044
경상남도,2015~2024,13.79,21.82,8.03,1608.34,1294.99,-19.5,23.27,16.04,-31.1,-25.3,0.933
강원특별자치도,2015~2024,16.89,25.36,8.47,1235.52,1077.75,-12.8,11.46,8.31,-27.5,-20.15,0.708
충청북도,2015~2024,14.82,21.95,7.13,1773.33,1396.67,-21.2,15.76,10.31,-34.6,-27.9,0.672
전북특별자치도,2015~2024,17.84,25.26,7.42,2041.23,1801.65,-11.7,24.59,16.85,-31.5,-21.6,0.26
대전광역시,2015~2024,10.9,18.01,7.11,552.78,567.03,2.6,31.41,17.36,-44.7,-21.05,0.039
경기도,2015~2024,10.53,16.57,6.04,742.14,641.92,-13.5,20.62,12.56,-39.1,-26.3,-0.075
인천광역시,2015~2024,10.69,17.66,6.97,510.7,518.78,1.6,19.18,11.62,-39.4,-18.9,-0.234
세종특별자치시,2015~2024,10.62,11.6,0.98,1924.19,1293.57,-32.8,26.79,6.62,-75.3,-54.05,-0.349
대구광역시,2015~2024,12.71,20.87,8.16,508.98,533.39,4.8,19.3,14.39,-25.4,-10.299999999999999,-0.358
충청남도,2015~2024,16.42,22.26,5.84,1686.92,1442.66,-14.5,19.64,13.88,-29.3,-21.9,-0.585
광주광역시,2015~2024,11.3,17.54,6.24,938.16,861.2,-8.2,29.45,24.29,-17.5,-12.85,-1.186
서울특별시,2015~2024,12.6,19.44,6.84,312.73,340.03,8.7,8.08,5.9,-27.0,-9.15,-1.191
전라남도,2015~2024,20.53,27.2,6.67,2324.44,2110.83,-9.2,17.1,16.24,-5.0,-7.1,-1.471
제주특별자치도,2015~2024,13.76,18.94,5.18,543.7,504.78,-7.2,9.31,7.87,-15.5,-11.35,-1.908
