시도_원본,시도,기준연월,총인구수,고령인구수_65세이상,고령인구비율
서울특별시,서울특별시,2024-12,9331828,1813648,19.44
부산광역시,부산광역시,2024-12,3266598,780576,23.9
대구광역시,대구광역시,2024-12,2363629,493256,20.87
인천광역시,인천광역시,2024-12,3021010,533369,17.66
광주광역시,광주광역시,2024-12,1408422,246980,17.54
대전광역시,대전광역시,2024-12,1439157,259245,18.01
울산광역시,울산광역시,2024-12,1098049,188702,17.19
세종특별자치시,세종특별자치시,2024-12,390685,45301,11.6
경기도,경기도,2024-12,13694685,2269603,16.57
강원특별자치도,강원특별자치도,2024-12,1517766,384970,25.36
충청북도,충청북도,2024-12,1591177,349187,21.95
충청남도,충청남도,2024-12,2136574,475648,22.26
전북특별자치도,전북특별자치도,2024-12,1738690,439263,25.26
전라남도,전라남도,2024-12,1788819,486492,27.2
경상북도,경상북도,2024-12,2531384,659227,26.04
경상남도,경상남도,2024-12,3228380,704330,21.82
제주특별자치도,제주특별자치도,2024-12,670368,126985,18.94
