시도_원본,시도,기준연월,총인구수,고령인구수_65세이상,고령인구비율,연도
서울특별시,서울특별시,2015-12,10022181,1262436,12.6,2015
부산광역시,부산광역시,2015-12,3513777,514630,14.65,2015
대구광역시,대구광역시,2015-12,2487829,316122,12.71,2015
인천광역시,인천광역시,2015-12,2925815,312905,10.69,2015
광주광역시,광주광역시,2015-12,1472199,166389,11.3,2015
대전광역시,대전광역시,2015-12,1518775,165528,10.9,2015
울산광역시,울산광역시,2015-12,1173534,103205,8.79,2015
세종특별자치시,세종특별자치시,2015-12,210884,22399,10.62,2015
경기도,경기도,2015-12,12522606,1318882,10.53,2015
강원도,강원특별자치도,2015-12,1549507,261671,16.89,2015
충청북도,충청북도,2015-12,1583952,234813,14.82,2015
충청남도,충청남도,2015-12,2077649,341214,16.42,2015
전라북도,전북특별자치도,2015-12,1869711,333524,17.84,2015
전라남도,전라남도,2015-12,1908996,391837,20.53,2015
경상북도,경상북도,2015-12,2702826,479634,17.75,2015
경상남도,경상남도,2015-12,3364702,464019,13.79,2015
제주특별자치도,제주특별자치도,2015-12,624395,85893,13.76,2015
서울특별시,서울특별시,2016-12,9930616,1295899,13.05,2016
부산광역시,부산광역시,2016-12,3498529,536064,15.32,2016
대구광역시,대구광역시,2016-12,2484557,328901,13.24,2016
인천광역시,인천광역시,2016-12,2943069,324255,11.02,2016
광주광역시,광주광역시,2016-12,1469214,172572,11.75,2016
대전광역시,대전광역시,2016-12,1514370,171568,11.33,2016
울산광역시,울산광역시,2016-12,1172304,108768,9.28,2016
세종특별자치시,세종특별자치시,2016-12,243048,24197,9.96,2016
경기도,경기도,2016-12,12716780,1374475,10.81,2016
강원도,강원특별자치도,2016-12,1550806,266152,17.16,2016
충청북도,충청북도,2016-12,1591625,240690,15.12,2016
충청남도,충청남도,2016-12,2096727,350108,16.7,2016
전라북도,전북특별자치도,2016-12,1864791,341203,18.3,2016
전라남도,전라남도,2016-12,1903914,398916,20.95,2016
경상북도,경상북도,2016-12,2700398,492417,18.23,2016
경상남도,경상남도,2016-12,3373871,480278,14.24,2016
제주특별자치도,제주특별자치도,2016-12,641597,89189,13.9,2016
서울특별시,서울특별시,2017-12,9857426,1359901,13.8,2017
부산광역시,부산광역시,2017-12,3470653,565527,16.29,2017
대구광역시,대구광역시,2017-12,2475231,347459,14.04,2017
인천광역시,인천광역시,2017-12,2948542,345024,11.7,2017
광주광역시,광주광역시,2017-12,1463770,180862,12.36,2017
대전광역시,대전광역시,2017-12,1502227,180667,12.03,2017
울산광역시,울산광역시,2017-12,1165132,116633,10.01,2017
세종특별자치시,세종특별자치시,2017-12,280100,26851,9.59,2017
경기도,경기도,2017-12,12873895,1467835,11.4,2017
강원도,강원특별자치도,2017-12,1550142,279976,18.06,2017
충청북도,충청북도,2017-12,1594432,252434,15.83,2017
충청남도,충청남도,2017-12,2116770,362946,17.15,2017
