시도,65세이상인구(A),고령인구비율(A÷B×100),전체인구(B)
강원특별자치도,384970.0,25.4,1517766.0
경기도,2269603.0,16.6,13694685.0
경상남도,704330.0,21.8,3228380.0
경상북도,659227.0,26.0,2531384.0
광주광역시,246980.0,17.5,1408422.0
대구광역시,493256.0,20.9,2363629.0
대전광역시,259245.0,18.0,1439157.0
부산광역시,780576.0,23.9,3266598.0
서울특별시,1813648.0,19.4,9331828.0
세종특별자치시,45301.0,11.6,390685.0
울산광역시,188702.0,17.2,1098049.0
인천광역시,533369.0,17.7,3021010.0
전라남도,486492.0,27.2,1788819.0
전북특별자치도,439263.0,25.3,1738690.0
제주특별자치도,126985.0,18.9,670368.0
충청남도,475648.0,22.3,2136574.0
충청북도,349187.0,21.9,1591177.0
