시도별(1),2015_계_소계,2015_의료기관_상급종합병원,2015_의료기관_종합병원,2015_의료기관_병원,2015_의료기관_요양병원,2015_의료기관_의원,2015_의료기관_치과병원,2015_의료기관_치과의원,2015_의료기관_조산원,2015_의료기관_한방병원,2015_의료기관_한의원,2015_보건기관_보건의료원,2015_보건기관_보건소,2015_보건기관_보건지소,2015_보건기관_보건진료소,2015_약국_소계,2016_계_소계,2016_의료기관_상급종합병원,2016_의료기관_종합병원,2016_의료기관_병원,2016_의료기관_요양병원,2016_의료기관_의원,2016_의료기관_치과병원,2016_의료기관_치과의원,2016_의료기관_조산원,2016_의료기관_한방병원,2016_의료기관_한의원,2016_보건기관_보건의료원,2016_보건기관_보건소,2016_보건기관_보건지소,2016_보건기관_보건진료소,2016_약국_소계,2017_계_소계,2017_의료기관_상급종합병원,2017_의료기관_종합병원,2017_의료기관_병원,2017_의료기관_요양병원,2017_의료기관_의원,2017_의료기관_치과병원,2017_의료기관_치과의원,2017_의료기관_조산원,2017_의료기관_한방병원,2017_의료기관_한의원,2017_보건기관_보건의료원,2017_보건기관_보건소,2017_보건기관_보건지소,2017_보건기관_보건진료소,2017_약국_소계,2018_계_소계,2018_의료기관_상급종합병원,2018_의료기관_종합병원,2018_의료기관_병원,2018_의료기관_요양병원,2018_의료기관_의원,2018_의료기관_치과병원,2018_의료기관_치과의원,2018_의료기관_조산원,2018_의료기관_한방병원,2018_의료기관_한의원,2018_보건기관_보건의료원,2018_보건기관_보건소,2018_보건기관_보건지소,2018_보건기관_보건진료소,2018_약국_소계,2019_계_소계,2019_의료기관_상급종합병원,2019_의료기관_종합병원,2019_의료기관_병원,2019_의료기관_요양병원,2019_의료기관_의원,2019_의료기관_치과병원,2019_의료기관_치과의원,2019_의료기관_조산원,2019_의료기관_한방병원,2019_의료기관_한의원,2019_보건기관_보건의료원,2019_보건기관_보건소,2019_보건기관_보건지소,2019_보건기관_보건진료소,2019_약국_소계,2020_계_소계,2020_의료기관_상급종합병원,2020_의료기관_종합병원,2020_의료기관_병원,2020_의료기관_요양병원,2020_의료기관_의원,2020_의료기관_치과병원,2020_의료기관_치과의원,2020_의료기관_조산원,2020_의료기관_한방병원,2020_의료기관_한의원,2020_보건기관_보건의료원,2020_보건기관_보건소,2020_보건기관_보건지소,2020_보건기관_보건진료소,2020_약국_소계,2021_계_소계,2021_의료기관_상급종합병원,2021_의료기관_종합병원,2021_의료기관_병원,2021_의료기관_요양병원,2021_의료기관_의원,2021_의료기관_치과병원,2021_의료기관_치과의원,2021_의료기관_조산원,2021_의료기관_한방병원,2021_의료기관_한의원,2021_보건기관_보건의료원,2021_보건기관_보건소,2021_보건기관_보건지소,2021_보건기관_보건진료소,2021_약국_소계,2022_계_소계,2022_의료기관_상급종합병원,2022_의료기관_종합병원,2022_의료기관_병원,2022_의료기관_요양병원,2022_의료기관_의원,2022_의료기관_치과병원,2022_의료기관_치과의원,2022_의료기관_조산원,2022_의료기관_한방병원,2022_의료기관_한의원,2022_보건기관_보건의료원,2022_보건기관_보건소,2022_보건기관_보건지소,2022_보건기관_보건진료소,2022_약국_소계,2023_계_소계,2023_의료기관_상급종합병원,2023_의료기관_종합병원,2023_의료기관_병원,2023_의료기관_요양병원,2023_의료기관_의원,2023_의료기관_치과병원,2023_의료기관_치과의원,2023_의료기관_조산원,2023_의료기관_한방병원,2023_의료기관_한의원,2023_보건기관_보건의료원,2023_보건기관_보건소,2023_보건기관_보건지소,2023_보건기관_보건진료소,2023_약국_소계,2024_계_소계,2024_의료기관_상급종합병원,2024_의료기관_종합병원,2024_의료기관_병원,2024_의료기관_요양병원,2024_의료기관_의원,2024_의료기관_치과병원,2024_의료기관_치과의원,2024_의료기관_조산원,2024_의료기관_한방병원,2024_의료기관_한의원,2024_보건기관_보건의료원,2024_보건기관_보건소,2024_보건기관_보건지소,2024_보건기관_보건진료소,2024_약국_소계
계,88163,43,294,1496,1372,29488,213,16609,31,260,13613,15,243,1313,1906,88163,89919,43,298,1514,1428,30292,223,17023,28,282,13868,15,241,1316,1905,89919,91545,43,301,1466,1529,30938,231,17376,26,312,14111,15,241,1315,1904,91545,93184,42,311,1465,1560,31718,237,17668,21,307,14295,15,241,1317,1905,93184,94865,42,314,1489,1577,32491,239,17963,19,352,14408,15,241,1317,1905,94865,96742,42,319,1515,1582,33115,235,18261,18,410,14464,15,241,1317,1903,96742,98479,45,319,1397,1464,33912,234,18589,16,479,14526,15,243,1314,1903,98479,100396,45,328,1398,1435,34958,236,18851,14,546,14549,15,244,1316,1902,100396,101762,45,331,1403,1392,35717,239,19032,15,559,14592,15,246,1313,1899,101762,103308,47,331,1412,1342,36685,241,19142,16,581,14736,16,245,1309,1895,103308
서울특별시,21507,14,42,218,103,7802,68,4693,5,39,3543,0,25,4,0,21507,21786,14,42,222,110,8004,69,4751,4,38,3581,0,25,4,0,21786,22043,14,43,221,115,8155,65,4797,4,44,3602,0,25,4,0,22043,22345,13,45,223,119,8372,65,4807,3,42,3614,0,25,8,0,22345,22739,13,44,228,124,8628,65,4836,3,53,3617,0,25,8,0,22739,23207,13,43,230,127,8884,62,4879,3,60,3616,0,25,8,0,23207,23661,14,42,222,124,9189,60,4902,3,73,3621,0,25,8,0,23661,24069,14,42,227,122,9467,60,4904,3,88,3618,0,25,10,0,24069,24364,14,42,230,110,9715,60,4879,3,85,3628,0,25,10,0,24364,24887,14,44,225,107,10103,56,4882,3,89,3654,0,25,11,0,24887
부산광역시,6416,4,24,130,190,2198,19,1206,4,9,1098,0,16,11,5,6416,6487,4,25,139,197,2227,21,1233,3,10,1106,0,16,11,5,6487,6572,4,25,138,197,2279,22,1256,2,9,1113,0,16,11,5,6572,6679,4,25,137,187,2342,24,1265,2,9,1135,0,16,11,5,6679,6752,4,25,142,190,2384,24,1273,2,10,1136,0,16,11,5,6752,6868,4,25,145,187,2419,23,1292,1,13,1146,0,16,11,5,6868,6967,3,25,136,169,2468,24,1306,1,18,1141,0,16,11,5,6967,7141,3,25,139,163,2562,25,1327,1,26,1145,0,16,11,5,7141,7209,3,26,142,162,2597,25,1335,1,27,1140,0,16,11,5,7209,7274,4,25,143,160,2652,25,1331,1,25,1150,0,16,11,5,7274
대구광역시,4706,4,8,114,61,1615,17,826,2,2,842,0,8,9,8,4706,4825,4,8,113,62,1674,18,850,1,2,858,0,8,9,8,4825,4906,4,8,112,62,1712,18,868,0,2,869,0,8,9,8,4906,5001,5,10,108,64,1760,17,882,0,2,869,0,8,9,8,5001,5083,5,11,109,69,1803,16,883,0,3,878,0,8,9,8,5083,5154,5,12,109,71,1834,16,886,0,7,874,0,8,8,8,5154,5237,5,13,88,74,1884,15,903,0,10,882,0,8,8,8,5237,5314,5,13,91,76,1924,14,914,0,15,888,0,8,8,8,5314,5461,5,14,91,71,1980,13,937,0,18,898,0,9,15,18,5461,5555,5,14,92,71,2035,13,946,0,20,909,0,9,15,18,5555
인천광역시,4123,3,16,55,64,1444,4,830,2,14,607,0,10,27,27,4123,4224,3,15,58,68,1477,5,855,2,18,624,0,10,27,27,4224,4324,3,16,60,72,1496,6,881,3,22,636,0,10,27,27,4324,4404,3,16,62,72,1529,9,900,2,26,649,0,10,27,26,4404,4497,3,16,62,71,1573,9,911,1,33,658,0,10,27,26,4497,4579,3,16,68,70,1591,9,933,1,35,660,0,10,27,26,4579,4683,3,17,56,67,1633,9,956,1,43,664,0,10,27,26,4683,4863,3,18,59,66,1725,10,981,0,49,669,0,10,27,26,4863,4971,3,18,57,62,1772,11,991,1,48,682,0,10,27,25,4971,5099,3,18,59,62,1831,13,1006,1,48,692,0,10,27,25,5099
광주광역시,2678,2,20,75,49,893,11,577,0,84,304,0,5,1,10,2678,2720,2,20,75,55,904,12,586,0,91,313,0,5,1,10,2720,2771,2,20,74,61,915,12,600,0,99,318,0,5,1,10,2771,2809,2,20,78,64,933,13,614,0,87,318,0,5,1,10,2809,2852,2,21,80,66,948,14,625,0,85,323,0,5,1,10,2852,2888,2,22,85,64,958,15,629,0,84,318,0,5,1,10,2888,2911,2,21,84,59,970,15,635,0,88,313,0,5,1,10,2911,2996,2,22,83,61,1021,15,643,0,85,316,0,5,1,10,2996,3023,2,22,77,63,1050,14,641,0,88,316,0,5,2,10,3023,3046,2,23,80,60,1066,12,644,0,86,318,0,5,2,10,3046
대전광역시,2868,1,9,38,52,1026,5,509,1,5,502,0,5,7,8,2868,2915,1,9,40,52,1045,6,515,1,5,511,0,5,7,8,2915,2941,1,9,45,52,1057,6,513,1,7,510,0,5,7,8,2941,2975,1,9,49,51,1068,6,523,1,6,512,0,5,6,8,2975,2984,1,9,51,50,1078,6,530,1,7,505,0,5,6,8,2984,3043,1,9,50,51,1090,6,539,1,12,504,0,5,6,8,3043,3078,1,9,46,48,1112,6,547,1,14,505,0,5,6,8,3078,3094,1,9,46,47,1123,6,549,1,15,508,0,5,6,8,3094,3086,1,9,46,47,1111,7,552,1,17,498,0,5,6,8,3086,3125,2,8,48,45,1139,7,555,1,16,506,0,5,6,7,3125
울산광역시,1744,1,6,40,43,574,4,361,0,3,289,0,5,8,11,1744,1778,1,6,40,46,594,3,370,0,3,286,0,5,8,11,1778,1780,1,7,42,43,592,3,379,0,3,284,0,5,8,11,1780,1791,0,8,41,42,604,3,381,0,2,283,0,5,8,11,1791,1801,0,8,43,42,609,4,383,0,3,275,0,5,8,11,1801,1825,0,9,38,41,614,4,389,0,5,278,0,5,8,11,1825,1832,1,8,33,41,618,4,388,0,5,276,0,5,8,11,1832,1847,1,8,33,39,624,4,388,0,5,282,0,5,8,11,1847,1865,1,8,34,38,637,4,389,0,7,275,0,5,8,11,1865,1859,1,8,31,36,643,4,384,0,7,273,0,5,8,11,1859
세종특별자치시,299,0,0,1,7,100,0,51,0,0,40,0,1,11,7,299,345,0,0,1,7,116,0,60,0,0,53,0,1,11,7,345,415,0,0,1,7,147,1,72,0,0,65,0,1,10,7,415,465,0,0,0,6,171,1,80,0,1,73,0,1,10,7,465,491,0,1,0,6,181,1,85,0,1,76,0,1,10,7,491,539,0,2,2,6,190,1,91,0,4,82,0,1,10,7,539,558,0,2,1,5,198,1,96,0,3,82,0,1,10,7,558,590,0,2,1,4,216,1,98,0,4,88,0,1,10,7,590,619,0,2,3,4,229,1,99,0,4,97,0,1,10,7,619,622,0,2,3,3,229,1,99,0,4,99,0,1,10,7,622
경기도,18184,5,53,288,279,6159,34,3716,10,39,2784,1,45,125,161,18184,18772,5,56,288,283,6399,34,3860,9,44,2876,1,44,125,160,18772,19319,5,56,270,322,6600,35,3956,8,45,2987,1,45,125,161,19319,19851,5,58,265,336,6817,36,4082,7,51,3070,1,45,125,161,19851,20491,5,59,277,345,7065,37,4204,7,65,3146,1,45,124,161,20491,21151,5,62,288,349,7257,37,4331,7,89,3191,1,45,124,161,21151,21784,5,62,277,319,7487,38,4481,6,112,3239,1,47,120,162,21784,22448,5,67,279,309,7829,40,4598,5,141,3252,1,48,119,160,22448,23007,5,66,286,302,8086,43,4698,5,139,3306,1,48,119,158,23007,23516,6,66,294,285,8373,46,4741,5,150,3359,1,48,116,155,23516
