시도별(1),2015_의료기관_요양병원,2016_의료기관_요양병원,2017_의료기관_요양병원,2018_의료기관_요양병원,2019_의료기관_요양병원,2020_의료기관_요양병원,2021_의료기관_요양병원,2022_의료기관_요양병원,2023_의료기관_요양병원,2024_의료기관_요양병원
계,1372,1428,1529,1560,1577,1582,1464,1435,1392,1342
서울특별시,103,110,115,119,124,127,124,122,110,107
부산광역시,190,197,197,187,190,187,169,163,162,160
대구광역시,61,62,62,64,69,71,74,76,71,71
인천광역시,64,68,72,72,71,70,67,66,62,62
광주광역시,49,55,61,64,66,64,59,61,63,60
대전광역시,52,52,52,51,50,51,48,47,47,45
울산광역시,43,46,43,42,42,41,41,39,38,36
세종특별자치시,7,7,7,6,6,6,5,4,4,3
경기도,279,283,322,336,345,349,319,309,302,285
강원특별자치도,31,31,30,33,32,32,34,31,31,32
충청북도,41,43,47,52,49,51,41,38,38,36
충청남도,74,78,90,91,88,84,67,69,68,66
전북특별자치도,82,84,82,86,83,84,84,83,79,74
전라남도,68,73,81,84,90,90,82,82,80,79
경상북도,112,112,120,120,117,117,113,109,107,103
경상남도,108,117,138,144,145,148,128,125,119,113
제주특별자치도,8,10,10,9,10,10,9,11,11,10
