시도,연도,복지시설_합계,요양병원_수,복지시설_정규화,요양병원_정규화,인프라_치우침_지수
강원특별자치도,2015,3233,29,0.2995,0.0803,0.2192
경기도,2015,9788,281,1.0,1.0,0.0
경상남도,2015,7463,103,0.7515,0.3504,0.4012
경상북도,2015,8033,110,0.8124,0.3759,0.4365
광주광역시,2015,1561,45,0.1208,0.1387,-0.0179
대구광역시,2015,1609,62,0.1259,0.2007,-0.0748
대전광역시,2015,915,52,0.0517,0.1642,-0.1125
부산광역시,2015,2441,184,0.2148,0.646,-0.4312
서울특별시,2015,3948,104,0.3759,0.354,0.0219
세종특별자치시,2015,431,7,0.0,0.0,0.0
울산광역시,2015,839,43,0.0436,0.1314,-0.0878
인천광역시,2015,1598,62,0.1247,0.2007,-0.076
전라남도,2015,9108,66,0.9273,0.2153,0.712
전북특별자치도,2015,6808,82,0.6815,0.2737,0.4078
제주특별자치도,2015,467,8,0.0038,0.0036,0.0002
충청남도,2015,5756,73,0.5691,0.2409,0.3282
충청북도,2015,4164,41,0.399,0.1241,0.2749
강원특별자치도,2016,3297,31,0.3008,0.0876,0.2132
경기도,2016,9908,281,1.0,1.0,0.0
경상남도,2016,7516,115,0.747,0.3942,0.3529
경상북도,2016,8084,112,0.8071,0.3832,0.4239
광주광역시,2016,1511,52,0.1119,0.1642,-0.0523
대구광역시,2016,1638,61,0.1253,0.1971,-0.0717
대전광역시,2016,930,52,0.0504,0.1642,-0.1138
부산광역시,2016,2485,195,0.2149,0.6861,-0.4712
서울특별시,2016,3961,107,0.371,0.365,0.0061
세종특별자치시,2016,453,7,0.0,0.0,0.0
울산광역시,2016,856,44,0.0426,0.135,-0.0924
인천광역시,2016,1605,66,0.1218,0.2153,-0.0935
전라남도,2016,9179,71,0.9229,0.2336,0.6893
전북특별자치도,2016,6860,82,0.6776,0.2737,0.4039
제주특별자치도,2016,475,8,0.0023,0.0036,-0.0013
충청남도,2016,5778,76,0.5632,0.2518,0.3114
충청북도,2016,4191,43,0.3953,0.1314,0.264
강원특별자치도,2017,3342,30,0.3,0.0752,0.2249
경기도,2017,10061,313,1.0,1.0,0.0
경상남도,2017,7554,135,0.7388,0.4183,0.3205
경상북도,2017,8158,119,0.8018,0.366,0.4357
광주광역시,2017,1541,59,0.1124,0.1699,-0.0575
대구광역시,2017,1652,64,0.124,0.1863,-0.0623
대전광역시,2017,932,52,0.049,0.1471,-0.0981
부산광역시,2017,2513,198,0.2137,0.6242,-0.4105
서울특별시,2017,3992,115,0.3677,0.3529,0.0148
세종특별자치시,2017,462,7,0.0,0.0,0.0
울산광역시,2017,855,44,0.0409,0.1209,-0.08
인천광역시,2017,1599,72,0.1184,0.2124,-0.094
전라남도,2017,9223,79,0.9127,0.2353,0.6774
전북특별자치도,2017,6923,83,0.6731,0.2484,0.4247
제주특별자치도,2017,484,11,0.0023,0.0131,-0.0108
충청남도,2017,5856,89,0.5619,0.268,0.294
충청북도,2017,4216,47,0.3911,0.1307,0.2604
강원특별자치도,2018,3398,32,0.2966,0.0772,0.2194
경기도,2018,10300,331,1.0,1.0,0.0
경상남도,2018,7640,141,0.7289,0.4136,0.3153
경상북도,2018,8226,119,0.7886,0.3457,0.4429
광주광역시,2018,1562,63,0.1095,0.1728,-0.0634
대구광역시,2018,1676,64,0.1211,0.1759,-0.0548
대전광역시,2018,962,51,0.0483,0.1358,-0.0875
부산광역시,2018,2561,191,0.2113,0.5679,-0.3566
서울특별시,2018,4107,116,0.3688,0.3364,0.0324
세종특별자치시,2018,488,7,0.0,0.0,0.0
울산광역시,2018,865,42,0.0384,0.108,-0.0696
인천광역시,2018,1667,72,0.1202,0.2006,-0.0805
전라남도,2018,9307,82,0.8988,0.2315,0.6673
전북특별자치도,2018,6968,86,0.6604,0.2438,0.4166
제주특별자치도,2018,492,9,0.0004,0.0062,-0.0058
충청남도,2018,5896,90,0.5512,0.2562,0.295
충청북도,2018,4246,51,0.383,0.1358,0.2472
강원특별자치도,2019,3541,33,0.3129,0.0801,0.2328
