시도,복지시설_2015,복지시설_2024,복지시설_CAGR(%),요양병원_2015,요양병원_2024,요양병원_CAGR(%)
강원특별자치도,3233,4149,2.81,29,32,1.1
경기도,9788,14569,4.52,281,294,0.5
경상남도,7463,9121,2.25,103,115,1.23
경상북도,8033,9186,1.5,110,104,-0.62
광주광역시,1561,2127,3.5,45,62,3.62
대구광역시,1609,2631,5.62,62,72,1.68
대전광역시,915,1470,5.41,52,46,-1.35
부산광역시,2441,3424,3.83,184,161,-1.47
서울특별시,3948,6167,5.08,104,110,0.63
세종특별자치시,431,586,3.47,7,3,-8.98
울산광역시,839,1235,4.39,43,36,-1.95
인천광역시,1598,2767,6.29,62,63,0.18
전라남도,9108,10269,1.34,66,79,2.02
전북특별자치도,6808,7914,1.69,82,74,-1.13
제주특별자치도,467,641,3.58,8,11,3.6
충청남도,5756,6862,1.97,73,66,-1.11
충청북도,4164,4877,1.77,41,37,-1.13
