시도_clean,복지시설_합계,요양병원_수,복지시설_정규화,요양병원_정규화,인프라_치우침_지수,성향_분류
서울특별시,6167,107,0.39912751197883145,0.36879432624113473,0.030333185737696722,균형
부산광역시,3424,160,0.2029607380390474,0.5567375886524822,-0.35377685061343483,전문 의료(요양병원) 중심
대구광역시,2631,71,0.1462490166630909,0.24113475177304963,-0.09488573510995874,전문 의료(요양병원) 중심
인천광역시,2767,62,0.15597511263677322,0.20921985815602837,-0.05324474551925515,전문 의료(요양병원) 중심
광주광역시,2127,60,0.11020524923120932,0.20212765957446807,-0.09192241034325875,전문 의료(요양병원) 중심
대전광역시,1470,45,0.06321962382893513,0.14893617021276595,-0.08571654638383082,전문 의료(요양병원) 중심
울산광역시,1235,36,0.046413502109704644,0.11702127659574468,-0.07060777448604004,전문 의료(요양병원) 중심
세종특별자치시,586,3,0.0,0.0,0.0,균형
경기도,14569,285,1.0,1.0,0.0,균형
강원특별자치도,4149,32,0.25480941142816277,0.10283687943262411,0.15197253199553867,복지/돌봄 중심
충청북도,4877,36,0.3068726310519917,0.11702127659574468,0.189851354456247,복지/돌봄 중심
충청남도,6862,66,0.448830723020811,0.22340425531914893,0.22542646770166208,복지/돌봄 중심
전북특별자치도,7914,74,0.5240649359937066,0.25177304964539005,0.2722918863483166,복지/돌봄 중심
전라남도,10269,79,0.6924837302438676,0.2695035460992908,0.4229801841445768,복지/돌봄 중심
경상북도,9186,103,0.6150325395122649,0.3546099290780142,0.2604226104342507,복지/돌봄 중심
경상남도,9121,113,0.6103840377601373,0.3900709219858156,0.22031311577432167,복지/돌봄 중심
제주특별자치도,641,10,0.003933347636415648,0.024822695035460994,-0.020889347399045348,균형
