시도_clean,복지시설_합계_2015,복지시설_합계_2024,복지시설_CAGR(%),요양병원_수_2015,요양병원_수_2024,요양병원_CAGR(%),10년간_변화_경향
서울특별시,3948,6167,5.0804362577457685,103,107,0.4242289388837417,복지/돌봄 인프라 중심 성장
부산광역시,2441,3424,3.831601577679722,190,160,-1.8913328328640788,복지/돌봄 인프라 중심 성장
대구광역시,1609,2631,5.615928808068804,61,71,1.7010391450620554,복지/돌봄 인프라 중심 성장
인천광역시,1598,2767,6.290019598036811,64,62,-0.35214183582361613,복지/돌봄 인프라 중심 성장
광주광역시,1561,2127,3.4973901565366505,49,60,2.2757791528402738,복지/돌봄 인프라 중심 성장
대전광역시,915,1470,5.40891913124002,52,45,-1.593623379830933,복지/돌봄 인프라 중심 성장
울산광역시,839,1235,4.38933013970606,43,36,-1.9548748934974158,복지/돌봄 인프라 중심 성장
세종특별자치시,431,586,3.4723905618709416,7,3,-8.984849717679088,복지/돌봄 인프라 중심 성장
경기도,9788,14569,4.5184269406914,279,285,0.23669522019731382,복지/돌봄 인프라 중심 성장
강원특별자치도,3233,4149,2.8105128576392246,31,32,0.35338625667542534,복지/돌봄 인프라 중심 성장
충청북도,4164,4877,1.7716680582716027,41,36,-1.4346442401265924,복지/돌봄 인프라 중심 성장
충청남도,5756,6862,1.9720389436040264,74,66,-1.2631801750591642,복지/돌봄 인프라 중심 성장
전북특별자치도,6808,7914,1.6866770212157878,82,74,-1.1341215116125514,복지/돌봄 인프라 중심 성장
전라남도,9108,10269,1.3419972450388729,68,79,1.6799568340580384,의료 인프라 중심 성장
경상북도,8033,9186,1.5014099154833538,112,103,-0.9264581625823332,복지/돌봄 인프라 중심 성장
경상남도,7463,9121,2.2541638028841016,108,113,0.504117435216922,복지/돌봄 인프라 중심 성장
제주특별자치도,467,641,3.581536726384238,8,10,2.510364845690116,복지/돌봄 인프라 중심 성장
