C2_NM,DT,PRD_DE,C1_NM,ITM_NM
전체,5586586,2016,합계,응급진료결과 현황
전체,5591404,2017,합계,응급진료결과 현황
전체,5794793,2018,합계,응급진료결과 현황
전체,5937569,2019,합계,응급진료결과 현황
전체,4644231,2020,합계,응급진료결과 현황
전체,4812100,2021,합계,응급진료결과 현황
전체,5061764,2022,합계,응급진료결과 현황
전체,5830676,2023,합계,응급진료결과 현황
전체,4262143,2024,합계,응급진료결과 현황
서울,1365315,2016,합계,응급진료결과 현황
서울,1368390,2017,합계,응급진료결과 현황
서울,1439029,2018,합계,응급진료결과 현황
서울,1383982,2019,합계,응급진료결과 현황
서울,1093564,2020,합계,응급진료결과 현황
서울,1109324,2021,합계,응급진료결과 현황
서울,1186025,2022,합계,응급진료결과 현황
서울,1331190,2023,합계,응급진료결과 현황
서울,800599,2024,합계,응급진료결과 현황
부산,221394,2016,합계,응급진료결과 현황
부산,208775,2017,합계,응급진료결과 현황
부산,210506,2018,합계,응급진료결과 현황
부산,235707,2019,합계,응급진료결과 현황
부산,206589,2020,합계,응급진료결과 현황
부산,204755,2021,합계,응급진료결과 현황
부산,206438,2022,합계,응급진료결과 현황
부산,224361,2023,합계,응급진료결과 현황
부산,141547,2024,합계,응급진료결과 현황
대구,217772,2016,합계,응급진료결과 현황
대구,225670,2017,합계,응급진료결과 현황
대구,238731,2018,합계,응급진료결과 현황
대구,246780,2019,합계,응급진료결과 현황
대구,184440,2020,합계,응급진료결과 현황
대구,209957,2021,합계,응급진료결과 현황
대구,217511,2022,합계,응급진료결과 현황
대구,233527,2023,합계,응급진료결과 현황
대구,146951,2024,합계,응급진료결과 현황
인천,355014,2016,합계,응급진료결과 현황
인천,371256,2017,합계,응급진료결과 현황
인천,380219,2018,합계,응급진료결과 현황
인천,390872,2019,합계,응급진료결과 현황
인천,309621,2020,합계,응급진료결과 현황
인천,330256,2021,합계,응급진료결과 현황
인천,352900,2022,합계,응급진료결과 현황
인천,394035,2023,합계,응급진료결과 현황
인천,318810,2024,합계,응급진료결과 현황
광주,164953,2016,합계,응급진료결과 현황
광주,164529,2017,합계,응급진료결과 현황
광주,170088,2018,합계,응급진료결과 현황
광주,182436,2019,합계,응급진료결과 현황
광주,140056,2020,합계,응급진료결과 현황
