시점,지역,소아청소년과의원수,출산율,출생아수,아동인구수(0-14세),소아청소년과전문의수,의원1개당전문의수,아동1만명당전문의수
2015,강원특별자치도,47.75,1.311,10929,196391,117.0,2.450261780104712,5.957503144237771
2015,경기도,644.0,1.272,113495,1906270,1267.75,1.968555900621118,6.6504220283590465
2015,경상남도,106.75,1.437,29537,482785,312.75,2.929742388758782,6.478038878589849
2015,경상북도,71.0,1.464,22310,340245,200.5,2.823943661971831,5.892812532145953
2015,광주광역시,53.0,1.207,12441,227392,213.5,4.028301886792453,9.389072614691809
2015,대구광역시,111.25,1.216,19438,329453,310.0,2.7865168539325844,9.409536413388253
2015,대전광역시,65.5,1.277,13774,224747,179.75,2.7442748091603053,7.997882062941886
2015,부산광역시,152.75,1.139,26645,410488,397.25,2.600654664484452,9.677505797977041
2015,서울특별시,520.75,1.001,83005,1201105,1211.25,2.3259721555448873,10.084463889501752
2015,세종특별자치시,10.75,1.893,2708,42411,20.25,1.8837209302325582,4.774704675673764
2015,울산광역시,40.5,1.486,11732,174556,110.0,2.7160493827160495,6.301702605467586
2015,인천광역시,143.25,1.216,25491,411642,271.0,1.8917975567190226,6.5833904217742605
2015,전라남도,28.75,1.549,15061,245971,145.5,5.060869565217391,5.9153314821665965
2015,전북특별자치도,72.75,1.352,14087,252966,179.5,2.4673539518900345,7.095815247898927
2015,제주특별자치도,26.75,1.477,5600,97811,57.0,2.130841121495327,5.827565406753841
2015,충청남도,59.25,1.48,18604,298200,156.5,2.6413502109704643,5.2481556002682765
2015,충청북도,52.5,1.414,13563,219080,133.75,2.5476190476190474,6.105075771407705
2016,강원특별자치도,49.0,1.237,10058,190309,120.0,2.4489795918367347,6.305534683068062
2016,경기도,657.25,1.194,105643,1885849,1298.0,1.9748953974895398,6.882841627298898
2016,경상남도,104.25,1.358,27138,472774,321.25,3.081534772182254,6.79500141716761
2016,경상북도,73.5,1.396,20616,333025,202.25,2.751700680272109,6.073117633811275
2016,광주광역시,49.0,1.168,11580,219773,214.25,4.372448979591836,9.748695244638787
2016,대구광역시,112.75,1.186,18298,321085,322.25,2.858093126385809,10.036283227182833
2016,대전광역시,64.25,1.192,12436,217638,181.0,2.8171206225680936,8.316562365028167
2016,부산광역시,149.75,1.095,24906,401980,415.25,2.7729549248747913,10.330115926165481
2016,서울특별시,522.25,0.94,75536,1157100,1231.75,2.3585447582575396,10.64514735113646
2016,세종특별자치시,13.0,1.821,3297,49587,21.75,1.6730769230769231,4.386230261963821
2016,울산광역시,39.25,1.418,10910,171276,115.75,2.949044585987261,6.758098040589458
2016,인천광역시,146.75,1.144,23609,403683,273.75,1.8654173764906303,6.7813110782470405
2016,전라남도,27.0,1.466,13980,239499,145.0,5.37037037037037,6.05430502841348
2016,전북특별자치도,71.0,1.251,12698,245140,185.0,2.6056338028169015,7.546708003589786
2016,제주특별자치도,26.0,1.432,5494,98117,56.75,2.1826923076923075,5.783911044976915
2016,충청남도,58.75,1.395,17302,294793,170.5,2.902127659574468,5.783719423459852
2016,충청북도,55.75,1.358,12742,214519,140.5,2.5201793721973096,6.549536404700749
2017,강원특별자치도,49.75,1.123,8958,184405,128.0,2.5728643216080402,6.941243458691468
2017,경기도,673.0,1.069,94088,1868329,1354.0,2.011887072808321,7.247117611512747
2017,경상남도,104.25,1.227,23849,465953,334.25,3.2062350119904077,7.173470285629667
2017,경상북도,71.75,1.256,17957,325629,203.25,2.832752613240418,6.241765936080632
2017,광주광역시,45.75,1.053,10120,213935,223.75,4.890710382513661,10.45878421015729
2017,대구광역시,116.25,1.067,15946,314017,341.75,2.9397849462365593,10.883168745641159
2017,대전광역시,65.25,1.075,10851,209595,190.25,2.9157088122605366,9.077029509291728
2017,부산광역시,145.75,0.976,21480,391988,414.75,2.8456260720411666,10.580681041256364
2017,서울특별시,522.0,0.836,65389,1119266,1253.75,2.4018199233716473,11.201537436141184
2017,세종특별자치시,16.0,1.668,3504,57865,22.0,1.375,3.801952821221809
2017,울산광역시,36.5,1.261,9381,168032,115.5,3.164383561643836,6.873690725576081
2017,인천광역시,149.5,1.007,20445,394966,281.5,1.882943143812709,7.1271957586222605
2017,전라남도,28.0,1.325,12354,233136,150.25,5.366071428571429,6.444736119689795
2017,전북특별자치도,73.0,1.151,11348,237193,194.0,2.6575342465753424,8.178993477885097
2017,제주특별자치도,26.75,1.305,5037,98727,58.75,2.196261682242991,5.950753086794899
2017,충청남도,61.25,1.276,15670,293089,173.75,2.836734693877551,5.928233403505419
2017,충청북도,53.25,1.235,11394,209840,139.75,2.624413145539906,6.65983606557377
2018,강원특별자치도,51.0,1.067,8351,178612,127.25,2.4950980392156863,7.124381340559425
2018,경기도,671.75,1.002,88175,1853993,1406.25,2.093412727949386,7.584980094315351
2018,경상남도,105.0,1.122,21224,454829,338.5,3.223809523809524,7.442357457418063
2018,경상북도,72.75,1.167,16079,316485,204.5,2.810996563573883,6.4616016556866835
2018,광주광역시,42.75,0.972,9105,207121,222.75,5.2105263157894735,10.75458306979978
2018,대구광역시,113.25,0.987,14400,304316,334.5,2.9536423841059603,10.991863720606213
2018,대전광역시,64.5,0.952,9337,200703,206.0,3.193798449612403,10.26392231306956
2018,부산광역시,138.0,0.899,19152,381928,414.75,3.005434782608696,10.859376636434092
