"행정구역별",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"행정구역별",출생건수 (명),출생건수 (명),출생건수 (명),출생건수 (명),출생건수 (명),출생건수 (명),출생건수 (명),출생건수 (명),출생건수 (명),출생건수 (명)
"전국",438420,406243,357771,326822,302676,272337,260562,249186,230028,238317
"서울특별시",83005,75536,65389,58074,53673,47445,45531,42602,39456,41605
"부산광역시",26645,24906,21480,19152,17049,15058,14446,14134,12866,13063
"대구광역시",19438,18298,15946,14400,13233,11193,10661,10134,9410,10103
"인천광역시",25491,23609,20445,20087,18522,16040,14947,14464,13659,15236
"광주광역시",12441,11580,10120,9105,8364,7318,7956,7446,6172,6034
"대전광역시",13774,12436,10851,9337,8410,7481,7414,7677,7194,7266
"울산광역시",11732,10910,9381,8149,7539,6617,6127,5399,5082,5282
"세종특별자치시",2708,3297,3504,3703,3819,3468,3570,3209,2761,2895
"경기도",113495,105643,94088,88175,83198,77737,76139,75323,68817,71285
"강원특별자치도",10929,10058,8958,8351,8283,7835,7357,7278,6688,6592
"충청북도",13563,12742,11394,10586,9333,8607,8190,7452,7580,7540
"충청남도",18604,17302,15670,14380,13228,11950,10984,10221,9436,9855
"전북특별자치도",14087,12698,11348,10001,8971,8165,7475,7032,6622,6780
"전라남도",15061,13980,12354,11238,10832,9738,8430,7888,7828,8225
"경상북도",22310,20616,17957,16079,14472,12873,12045,11311,10186,10333
"경상남도",29537,27138,23849,21224,19250,16823,15562,14017,13049,13067
"제주특별자치도",5600,5494,5037,4781,4500,3989,3728,3599,3222,3156
"국   외",,,,,,,,,,
