"시군구별","시점",데이터
"전국","2015",1.239
"전국","2016",1.172
"전국","2017",1.052
"전국","2018",0.977
"전국","2019",0.918
"전국","2020",0.837
"전국","2021",0.808
"전국","2022",0.778
"전국","2023",0.721
"전국","2024",0.748
"서울특별시","2015",1.001
"서울특별시","2016",0.940
"서울특별시","2017",0.836
"서울특별시","2018",0.761
"서울특별시","2019",0.717
"서울특별시","2020",0.642
"서울특별시","2021",0.626
"서울특별시","2022",0.593
"서울특별시","2023",0.552
"서울특별시","2024",0.581
"부산광역시","2015",1.139
"부산광역시","2016",1.095
"부산광역시","2017",0.976
"부산광역시","2018",0.899
"부산광역시","2019",0.827
"부산광역시","2020",0.747
"부산광역시","2021",0.728
"부산광역시","2022",0.723
"부산광역시","2023",0.664
"부산광역시","2024",0.683
"대구광역시","2015",1.216
"대구광역시","2016",1.186
"대구광역시","2017",1.067
"대구광역시","2018",0.987
"대구광역시","2019",0.932
"대구광역시","2020",0.807
"대구광역시","2021",0.785
"대구광역시","2022",0.757
"대구광역시","2023",0.702
"대구광역시","2024",0.754
"인천광역시","2015",1.216
"인천광역시","2016",1.144
"인천광역시","2017",1.007
"인천광역시","2018",1.006
"인천광역시","2019",0.940
"인천광역시","2020",0.829
"인천광역시","2021",0.778
"인천광역시","2022",0.747
"인천광역시","2023",0.694
"인천광역시","2024",0.762
"광주광역시","2015",1.207
"광주광역시","2016",1.168
"광주광역시","2017",1.053
"광주광역시","2018",0.972
"광주광역시","2019",0.913
"광주광역시","2020",0.811
"광주광역시","2021",0.896
"광주광역시","2022",0.844
"광주광역시","2023",0.706
"광주광역시","2024",0.699
"대전광역시","2015",1.277
"대전광역시","2016",1.192
"대전광역시","2017",1.075
"대전광역시","2018",0.952
"대전광역시","2019",0.883
"대전광역시","2020",0.805
"대전광역시","2021",0.810
"대전광역시","2022",0.842
"대전광역시","2023",0.787
"대전광역시","2024",0.792
"울산광역시","2015",1.486
"울산광역시","2016",1.418
"울산광역시","2017",1.261
"울산광역시","2018",1.131
"울산광역시","2019",1.084
"울산광역시","2020",0.984
"울산광역시","2021",0.940
"울산광역시","2022",0.848
"울산광역시","2023",0.814
"울산광역시","2024",0.859
"세종특별자치시","2015",1.893
"세종특별자치시","2016",1.821
"세종특별자치시","2017",1.668
"세종특별자치시","2018",1.566
"세종특별자치시","2019",1.472
"세종특별자치시","2020",1.277
"세종특별자치시","2021",1.277
"세종특별자치시","2022",1.121
"세종특별자치시","2023",0.971
"세종특별자치시","2024",1.028
"경기도","2015",1.272
"경기도","2016",1.194
"경기도","2017",1.069
"경기도","2018",1.002
"경기도","2019",0.943
"경기도","2020",0.878
"경기도","2021",0.853
"경기도","2022",0.839
"경기도","2023",0.766
"경기도","2024",0.789
"강원특별자치도","2015",1.311
"강원특별자치도","2016",1.237
"강원특별자치도","2017",1.123
"강원특별자치도","2018",1.067
"강원특별자치도","2019",1.082
"강원특별자치도","2020",1.036
"강원특별자치도","2021",0.979
"강원특별자치도","2022",0.968
"강원특별자치도","2023",0.893
"강원특별자치도","2024",0.889
"충청북도","2015",1.414
"충청북도","2016",1.358
"충청북도","2017",1.235
"충청북도","2018",1.172
"충청북도","2019",1.050
"충청북도","2020",0.983
"충청북도","2021",0.949
"충청북도","2022",0.871
"충청북도","2023",0.886
"충청북도","2024",0.882
"충청남도","2015",1.480
"충청남도","2016",1.395
"충청남도","2017",1.276
"충청남도","2018",1.186
"충청남도","2019",1.112
"충청남도","2020",1.029
"충청남도","2021",0.963
"충청남도","2022",0.909
"충청남도","2023",0.842
"충청남도","2024",0.883
"전북특별자치도","2015",1.352
"전북특별자치도","2016",1.251
"전북특별자치도","2017",1.151
"전북특별자치도","2018",1.044
"전북특별자치도","2019",0.971
"전북특별자치도","2020",0.909
"전북특별자치도","2021",0.850
"전북특별자치도","2022",0.817
"전북특별자치도","2023",0.780
"전북특별자치도","2024",0.808
"전라남도","2015",1.549
"전라남도","2016",1.466
"전라남도","2017",1.325
"전라남도","2018",1.240
"전라남도","2019",1.234
"전라남도","2020",1.145
"전라남도","2021",1.017
"전라남도","2022",0.969
"전라남도","2023",0.972
"전라남도","2024",1.028
"경상북도","2015",1.464
"경상북도","2016",1.396
"경상북도","2017",1.256
"경상북도","2018",1.167
"경상북도","2019",1.089
"경상북도","2020",1.003
"경상북도","2021",0.966
"경상북도","2022",0.930
"경상북도","2023",0.860
"경상북도","2024",0.897
"경상남도","2015",1.437
"경상남도","2016",1.358
"경상남도","2017",1.227
"경상남도","2018",1.122
"경상남도","2019",1.046
"경상남도","2020",0.945
"경상남도","2021",0.903
"경상남도","2022",0.838
"경상남도","2023",0.799
"경상남도","2024",0.820
"제주특별자치도","2015",1.477
"제주특별자치도","2016",1.432
"제주특별자치도","2017",1.305
"제주특별자치도","2018",1.220
"제주특별자치도","2019",1.145
"제주특별자치도","2020",1.021
"제주특별자치도","2021",0.951
"제주특별자치도","2022",0.919
"제주특별자치도","2023",0.827
"제주특별자치도","2024",0.826
