"행정구역(동읍면)별","시점","항목",계,0 - 4세,5 - 9세,10 - 14세
"전국","2015","총인구수 (명)",51529338,2266781,2334907,2459825
"전국","2016","총인구수 (명)",51696216,2204271,2361897,2349979
"전국","2017","총인구수 (명)",51778544,2079115,2356083,2350767
"전국","2018","총인구수 (명)",51826059,1974244,2328818,2325548
"전국","2019","총인구수 (명)",51849861,1845122,2321792,2299958
"전국","2020","총인구수 (명)",51829023,1677023,2293047,2337589
"전국","2021","총인구수 (명)",51638809,1530469,2229881,2364196
"전국","2022","총인구수 (명)",51439038,1427590,2105052,2357952
"전국","2023","총인구수 (명)",51325329,1334588,1998304,2330969
"전국","2024","총인구수 (명)",51217221,1271776,1868342,2324303
"전국","2025","총인구수 (명)",51117378,1254501,1704722,2295957
"서울특별시","2015","총인구수 (명)",10022181,393903,389396,417806
"서울특별시","2016","총인구수 (명)",9930616,376575,384739,395786
"서울특별시","2017","총인구수 (명)",9857426,350277,378185,390804
"서울특별시","2018","총인구수 (명)",9765623,324470,365898,380366
"서울특별시","2019","총인구수 (명)",9729107,300799,361894,370557
"서울특별시","2020","총인구수 (명)",9668465,270481,353264,371652
"서울특별시","2021","총인구수 (명)",9509458,244538,339145,367879
"서울특별시","2022","총인구수 (명)",9428372,227619,317698,362502
"서울특별시","2023","총인구수 (명)",9386034,213014,300548,355014
"서울특별시","2024","총인구수 (명)",9331828,202897,280883,352036
"서울특별시","2025","총인구수 (명)",9299548,202627,258035,346816
"부산광역시","2015","총인구수 (명)",3513777,134998,132229,143261
"부산광역시","2016","총인구수 (명)",3498529,132044,135043,134893
"부산광역시","2017","총인구수 (명)",3470653,123780,134952,133256
"부산광역시","2018","총인구수 (명)",3441453,117093,134349,130486
"부산광역시","2019","총인구수 (명)",3413841,107963,135358,128260
"부산광역시","2020","총인구수 (명)",3391946,97374,134982,130808
"부산광역시","2021","총인구수 (명)",3350380,87778,131833,133297
"부산광역시","2022","총인구수 (명)",3317812,81272,125105,134212
"부산광역시","2023","총인구수 (명)",3293362,75360,119043,133929
"부산광역시","2024","총인구수 (명)",3266598,71136,110600,135490
"부산광역시","2025","총인구수 (명)",3241600,70194,99703,135201
"대구광역시","2015","총인구수 (명)",2487829,101327,106788,121338
"대구광역시","2016","총인구수 (명)",2484557,99198,107838,114049
"대구광역시","2017","총인구수 (명)",2475231,93774,107269,112974
"대구광역시","2018","총인구수 (명)",2461769,89103,105850,109363
"대구광역시","2019","총인구수 (명)",2438031,82807,105505,106587
"대구광역시","2020","총인구수 (명)",2418346,74200,104026,106632
"대구광역시","2021","총인구수 (명)",2385412,66357,101466,107087
"대구광역시","2022","총인구수 (명)",2363691,61222,96508,106717
"대구광역시","2023","총인구수 (명)",2374960,57587,92816,106303
"대구광역시","2024","총인구수 (명)",2363629,54874,87354,107053
"대구광역시","2025","총인구수 (명)",2353032,54528,79786,106488
"인천광역시","2015","총인구수 (명)",2925815,134903,136855,139884
"인천광역시","2016","총인구수 (명)",2943069,130380,139130,134173
"인천광역시","2017","총인구수 (명)",2948542,121874,138051,135041
"인천광역시","2018","총인구수 (명)",2954642,115371,135930,133618
"인천광역시","2019","총인구수 (명)",2957026,107557,134843,132842
"인천광역시","2020","총인구수 (명)",2942828,96320,132314,134503
"인천광역시","2021","총인구수 (명)",2948375,88754,128630,137016
"인천광역시","2022","총인구수 (명)",2967314,85549,123393,137327
"인천광역시","2023","총인구수 (명)",2997410,82753,119576,137503
"인천광역시","2024","총인구수 (명)",3021010,81391,113805,138100
"인천광역시","2025","총인구수 (명)",3051961,82977,106296,138103
"광주광역시","2015","총인구수 (명)",1472199,68003,75697,83692
"광주광역시","2016","총인구수 (명)",1469214,65365,75592,78816
"광주광역시","2017","총인구수 (명)",1463770,61273,74600,78062
"광주광역시","2018","총인구수 (명)",1459336,57971,73306,75844
"광주광역시","2019","총인구수 (명)",1456468,53932,72587,74518
"광주광역시","2020","총인구수 (명)",1450062,48770,70922,75106
"광주광역시","2021","총인구수 (명)",1441611,45349,68716,75021
"광주광역시","2022","총인구수 (명)",1431050,42499,64478,74173
"광주광역시","2023","총인구수 (명)",1419237,38916,60863,73025
"광주광역시","2024","총인구수 (명)",1408422,36090,56747,72239
"광주광역시","2025","총인구수 (명)",1392013,34619,51537,70435
"대전광역시","2015","총인구수 (명)",1518775,70857,74192,79698
"대전광역시","2016","총인구수 (명)",1514370,68212,73864,75562
"대전광역시","2017","총인구수 (명)",1502227,63201,72017,74377
"대전광역시","2018","총인구수 (명)",1489936,58676,69821,72206
"대전광역시","2019","총인구수 (명)",1474870,53424,68405,70004
"대전광역시","2020","총인구수 (명)",1463882,47684,66845,69920
"대전광역시","2021","총인구수 (명)",1452251,43471,64077,69695
"대전광역시","2022","총인구수 (명)",1446072,41613,60620,68551
"대전광역시","2023","총인구수 (명)",1442216,39731,56996,67343
"대전광역시","2024","총인구수 (명)",1439157,38254,53259,66815
"대전광역시","2025","총인구수 (명)",1440729,38115,48661,66153
"울산광역시","2015","총인구수 (명)",1173534,58920,57321,58315
"울산광역시","2016","총인구수 (명)",1172304,57567,58354,55355
"울산광역시","2017","총인구수 (명)",1165132,54057,58384,55591
"울산광역시","2018","총인구수 (명)",1155623,50550,57813,55093
"울산광역시","2019","총인구수 (명)",1148019,46517,57854,54939
"울산광역시","2020","총인구수 (명)",1136017,41335,57171,55977
"울산광역시","2021","총인구수 (명)",1121592,36524,55494,56685
"울산광역시","2022","총인구수 (명)",1110663,32965,52096,56599
"울산광역시","2023","총인구수 (명)",1103661,30143,48943,56172
"울산광역시","2024","총인구수 (명)",1098049,28086,45011,56177
"울산광역시","2025","총인구수 (명)",1091948,27246,40224,55626
"세종특별자치시","2015","총인구수 (명)",210884,14725,15100,12586
"세종특별자치시","2016","총인구수 (명)",243048,17044,17867,14676
"세종특별자치시","2017","총인구수 (명)",280100,19226,20946,17693
"세종특별자치시","2018","총인구수 (명)",314126,21018,23434,20370
"세종특별자치시","2019","총인구수 (명)",340575,21998,25251,22321
"세종특별자치시","2020","총인구수 (명)",355831,20901,26382,24319
"세종특별자치시","2021","총인구수 (명)",371895,19998,27065,25992
"세종특별자치시","2022","총인구수 (명)",383591,18964,26987,27557
"세종특별자치시","2023","총인구수 (명)",386525,17223,26318,27898
"세종특별자치시","2024","총인구수 (명)",390685,16247,25104,28514
"세종특별자치시","2025","총인구수 (명)",391965,15667,23013,28782
"경기도","2015","총인구수 (명)",12522606,609016,642218,655036
"경기도","2016","총인구수 (명)",12716780,598082,653028,634739
"경기도","2017","총인구수 (명)",12873895,570103,656397,641829
"경기도","2018","총인구수 (명)",13077153,553751,656105,644137
"경기도","2019","총인구수 (명)",13239666,525180,659810,643213
"경기도","2020","총인구수 (명)",13427014,486768,659216,660978
"경기도","2021","총인구수 (명)",13565450,451584,648343,673470
"경기도","2022","총인구수 (명)",13589432,426327,614627,675472
"경기도","2023","총인구수 (명)",13630821,402048,587502,669391
"경기도","2024","총인구수 (명)",13694685,387676,552312,669968
"경기도","2025","총인구수 (명)",13730135,384411,505554,663714
"강원특별자치도","2015","총인구수 (명)",1549507,58478,64797,73116
"강원특별자치도","2016","총인구수 (명)",1550806,56219,65162,68928
"강원특별자치도","2017","총인구수 (명)",1550142,52651,64075,67679
