"시점","시군구별(1)",소아청소년과
"2015.1/4","전체",5223
"2015.1/4","서울",1203
"2015.1/4","부산",387
"2015.1/4","대구",308
"2015.1/4","인천",265
"2015.1/4","광주",210
"2015.1/4","대전",180
"2015.1/4","울산",108
"2015.1/4","세종",16
"2015.1/4","경기",1270
"2015.1/4","강원",114
"2015.1/4","충북",129
"2015.1/4","충남",157
"2015.1/4","전북",175
"2015.1/4","전남",139
"2015.1/4","경북",201
"2015.1/4","경남",304
"2015.1/4","제주",57
"2015.2/4","전체",5325
"2015.2/4","서울",1226
"2015.2/4","부산",398
"2015.2/4","대구",311
"2015.2/4","인천",271
"2015.2/4","광주",215
"2015.2/4","대전",181
"2015.2/4","울산",111
"2015.2/4","세종",21
"2015.2/4","경기",1277
"2015.2/4","강원",118
"2015.2/4","충북",133
"2015.2/4","충남",155
"2015.2/4","전북",181
"2015.2/4","전남",149
"2015.2/4","경북",205
"2015.2/4","경남",316
"2015.2/4","제주",57
"2015.3/4","전체",5303
"2015.3/4","서울",1208
"2015.3/4","부산",403
"2015.3/4","대구",312
"2015.3/4","인천",274
"2015.3/4","광주",215
"2015.3/4","대전",178
"2015.3/4","울산",111
"2015.3/4","세종",23
"2015.3/4","경기",1268
"2015.3/4","강원",119
"2015.3/4","충북",137
"2015.3/4","충남",157
"2015.3/4","전북",181
"2015.3/4","전남",148
"2015.3/4","경북",196
"2015.3/4","경남",315
"2015.3/4","제주",58
"2015.4/4","전체",5282
"2015.4/4","서울",1208
"2015.4/4","부산",401
"2015.4/4","대구",309
"2015.4/4","인천",274
"2015.4/4","광주",214
"2015.4/4","대전",180
"2015.4/4","울산",110
"2015.4/4","세종",21
"2015.4/4","경기",1256
"2015.4/4","강원",117
"2015.4/4","충북",136
"2015.4/4","충남",157
"2015.4/4","전북",181
"2015.4/4","전남",146
"2015.4/4","경북",200
"2015.4/4","경남",316
"2015.4/4","제주",56
"2016.1/4","전체",5376
"2016.1/4","서울",1223
"2016.1/4","부산",411
"2016.1/4","대구",316
"2016.1/4","인천",274
"2016.1/4","광주",217
"2016.1/4","대전",181
"2016.1/4","울산",114
"2016.1/4","세종",22
"2016.1/4","경기",1284
"2016.1/4","강원",119
"2016.1/4","충북",141
"2016.1/4","충남",166
"2016.1/4","전북",188
"2016.1/4","전남",140
"2016.1/4","경북",204
"2016.1/4","경남",320
"2016.1/4","제주",56
"2016.2/4","전체",5421
"2016.2/4","서울",1236
"2016.2/4","부산",417
"2016.2/4","대구",322
"2016.2/4","인천",272
"2016.2/4","광주",219
"2016.2/4","대전",180
"2016.2/4","울산",116
"2016.2/4","세종",20
"2016.2/4","경기",1292
"2016.2/4","강원",118
"2016.2/4","충북",143
"2016.2/4","충남",173
"2016.2/4","전북",186
"2016.2/4","전남",146
"2016.2/4","경북",205
"2016.2/4","경남",319
"2016.2/4","제주",57
"2016.3/4","전체",5433
"2016.3/4","서울",1232
"2016.3/4","부산",415
"2016.3/4","대구",324
"2016.3/4","인천",274
"2016.3/4","광주",212
"2016.3/4","대전",181
"2016.3/4","울산",118
"2016.3/4","세종",21
"2016.3/4","경기",1311
"2016.3/4","강원",121
"2016.3/4","충북",141
"2016.3/4","충남",172
"2016.3/4","전북",181
"2016.3/4","전남",149
"2016.3/4","경북",201
"2016.3/4","경남",323
"2016.3/4","제주",57
"2016.4/4","전체",5430
"2016.4/4","서울",1236
"2016.4/4","부산",418
"2016.4/4","대구",327
"2016.4/4","인천",275
"2016.4/4","광주",209
"2016.4/4","대전",182
"2016.4/4","울산",115
"2016.4/4","세종",24
"2016.4/4","경기",1305
"2016.4/4","강원",122
"2016.4/4","충북",137
"2016.4/4","충남",171
"2016.4/4","전북",185
"2016.4/4","전남",145
"2016.4/4","경북",199
"2016.4/4","경남",323
"2016.4/4","제주",57
"2017.1/4","전체",5511
"2017.1/4","서울",1250
"2017.1/4","부산",411
"2017.1/4","대구",345
"2017.1/4","인천",277
"2017.1/4","광주",216
"2017.1/4","대전",188
"2017.1/4","울산",114
"2017.1/4","세종",23
"2017.1/4","경기",1330
"2017.1/4","강원",123
"2017.1/4","충북",137
"2017.1/4","충남",177
"2017.1/4","전북",187
"2017.1/4","전남",148
"2017.1/4","경북",199
"2017.1/4","경남",328
"2017.1/4","제주",58
"2017.2/4","전체",5588
"2017.2/4","서울",1252
"2017.2/4","부산",417
"2017.2/4","대구",345
"2017.2/4","인천",281
"2017.2/4","광주",224
"2017.2/4","대전",188
"2017.2/4","울산",117
"2017.2/4","세종",26
"2017.2/4","경기",1351
"2017.2/4","강원",130
"2017.2/4","충북",141
"2017.2/4","충남",174
"2017.2/4","전북",199
"2017.2/4","전남",150
