
"시점","시군구별(1)",소아청소년과
"2015.1/4","전체",2207
"2015.1/4","서울",520
"2015.1/4","부산",153
"2015.1/4","대구",112
"2015.1/4","인천",139
"2015.1/4","광주",55
"2015.1/4","대전",66
"2015.1/4","울산",41
"2015.1/4","세종",9
"2015.1/4","경기",647
"2015.1/4","강원",48
"2015.1/4","충북",51
"2015.1/4","충남",60
"2015.1/4","전북",73
"2015.1/4","전남",29
"2015.1/4","경북",72
"2015.1/4","경남",105
"2015.1/4","제주",27
"2015.2/4","전체",2207
"2015.2/4","서울",522
"2015.2/4","부산",151
"2015.2/4","대구",113
"2015.2/4","인천",142
"2015.2/4","광주",53
"2015.2/4","대전",64
"2015.2/4","울산",41
"2015.2/4","세종",11
"2015.2/4","경기",646
"2015.2/4","강원",48
"2015.2/4","충북",51
"2015.2/4","충남",58
"2015.2/4","전북",73
"2015.2/4","전남",29
"2015.2/4","경북",71
"2015.2/4","경남",107
"2015.2/4","제주",27
"2015.3/4","전체",2213
"2015.3/4","서울",522
"2015.3/4","부산",153
"2015.3/4","대구",111
"2015.3/4","인천",145
"2015.3/4","광주",53
"2015.3/4","대전",65
"2015.3/4","울산",40
"2015.3/4","세종",12
"2015.3/4","경기",644
"2015.3/4","강원",48
"2015.3/4","충북",53
"2015.3/4","충남",60
"2015.3/4","전북",73
"2015.3/4","전남",29
"2015.3/4","경북",71
"2015.3/4","경남",107
"2015.3/4","제주",27
"2015.4/4","전체",2202
"2015.4/4","서울",519
"2015.4/4","부산",154
"2015.4/4","대구",109
"2015.4/4","인천",147
"2015.4/4","광주",51
"2015.4/4","대전",67
"2015.4/4","울산",40
"2015.4/4","세종",11
"2015.4/4","경기",639
"2015.4/4","강원",47
"2015.4/4","충북",55
"2015.4/4","충남",59
"2015.4/4","전북",72
"2015.4/4","전남",28
"2015.4/4","경북",70
"2015.4/4","경남",108
"2015.4/4","제주",26
"2016.1/4","전체",2218
"2016.1/4","서울",524
"2016.1/4","부산",153
"2016.1/4","대구",109
"2016.1/4","인천",146
"2016.1/4","광주",51
"2016.1/4","대전",66
"2016.1/4","울산",40
"2016.1/4","세종",13
"2016.1/4","경기",650
"2016.1/4","강원",49
"2016.1/4","충북",57
"2016.1/4","충남",59
"2016.1/4","전북",71
"2016.1/4","전남",27
"2016.1/4","경북",73
"2016.1/4","경남",104
"2016.1/4","제주",26
"2016.2/4","전체",2212
"2016.2/4","서울",524
"2016.2/4","부산",150
"2016.2/4","대구",113
"2016.2/4","인천",146
"2016.2/4","광주",50
"2016.2/4","대전",63
"2016.2/4","울산",40
"2016.2/4","세종",13
"2016.2/4","경기",649
"2016.2/4","강원",49
"2016.2/4","충북",57
"2016.2/4","충남",59
"2016.2/4","전북",70
"2016.2/4","전남",27
"2016.2/4","경북",73
"2016.2/4","경남",103
"2016.2/4","제주",26
"2016.3/4","전체",2222
"2016.3/4","서울",521
"2016.3/4","부산",148
"2016.3/4","대구",114
"2016.3/4","인천",147
"2016.3/4","광주",49
"2016.3/4","대전",64
"2016.3/4","울산",39
"2016.3/4","세종",13
"2016.3/4","경기",661
"2016.3/4","강원",49
"2016.3/4","충북",55
"2016.3/4","충남",59
"2016.3/4","전북",71
"2016.3/4","전남",27
"2016.3/4","경북",74
"2016.3/4","경남",105
"2016.3/4","제주",26
"2016.4/4","전체",2226
"2016.4/4","서울",520
"2016.4/4","부산",148
"2016.4/4","대구",115
"2016.4/4","인천",148
"2016.4/4","광주",46
"2016.4/4","대전",64
"2016.4/4","울산",38
"2016.4/4","세종",13
"2016.4/4","경기",669
"2016.4/4","강원",49
"2016.4/4","충북",54
"2016.4/4","충남",58
"2016.4/4","전북",72
"2016.4/4","전남",27
"2016.4/4","경북",74
