"시점","시도별",소아청소년과
"2015.1/4","계",2207
"2015.1/4","서울특별시",520
"2015.1/4","부산광역시",153
"2015.1/4","대구광역시",112
"2015.1/4","인천광역시",139
"2015.1/4","광주광역시",55
"2015.1/4","대전광역시",66
"2015.1/4","울산광역시",41
"2015.1/4","세종특별자치시",9
"2015.1/4","경기도",647
"2015.1/4","강원특별자치도",48
"2015.1/4","충청북도",51
"2015.1/4","충청남도",60
"2015.1/4","전북특별자치도",73
"2015.1/4","전라남도",29
"2015.1/4","경상북도",72
"2015.1/4","경상남도",105
"2015.1/4","제주특별자치도",27
"2015.2/4","계",2207
"2015.2/4","서울특별시",522
"2015.2/4","부산광역시",151
"2015.2/4","대구광역시",113
"2015.2/4","인천광역시",142
"2015.2/4","광주광역시",53
"2015.2/4","대전광역시",64
"2015.2/4","울산광역시",41
"2015.2/4","세종특별자치시",11
"2015.2/4","경기도",646
"2015.2/4","강원특별자치도",48
"2015.2/4","충청북도",51
"2015.2/4","충청남도",58
"2015.2/4","전북특별자치도",73
"2015.2/4","전라남도",29
"2015.2/4","경상북도",71
"2015.2/4","경상남도",107
"2015.2/4","제주특별자치도",27
"2015.3/4","계",2213
"2015.3/4","서울특별시",522
"2015.3/4","부산광역시",153
"2015.3/4","대구광역시",111
"2015.3/4","인천광역시",145
"2015.3/4","광주광역시",53
"2015.3/4","대전광역시",65
"2015.3/4","울산광역시",40
"2015.3/4","세종특별자치시",12
"2015.3/4","경기도",644
"2015.3/4","강원특별자치도",48
"2015.3/4","충청북도",53
"2015.3/4","충청남도",60
"2015.3/4","전북특별자치도",73
"2015.3/4","전라남도",29
"2015.3/4","경상북도",71
"2015.3/4","경상남도",107
"2015.3/4","제주특별자치도",27
"2015.4/4","계",2202
"2015.4/4","서울특별시",519
"2015.4/4","부산광역시",154
"2015.4/4","대구광역시",109
"2015.4/4","인천광역시",147
"2015.4/4","광주광역시",51
"2015.4/4","대전광역시",67
"2015.4/4","울산광역시",40
"2015.4/4","세종특별자치시",11
"2015.4/4","경기도",639
"2015.4/4","강원특별자치도",47
"2015.4/4","충청북도",55
"2015.4/4","충청남도",59
"2015.4/4","전북특별자치도",72
"2015.4/4","전라남도",28
"2015.4/4","경상북도",70
"2015.4/4","경상남도",108
"2015.4/4","제주특별자치도",26
"2016.1/4","계",2218
"2016.1/4","서울특별시",524
"2016.1/4","부산광역시",153
"2016.1/4","대구광역시",109
"2016.1/4","인천광역시",146
"2016.1/4","광주광역시",51
"2016.1/4","대전광역시",66
"2016.1/4","울산광역시",40
"2016.1/4","세종특별자치시",13
"2016.1/4","경기도",650
"2016.1/4","강원특별자치도",49
"2016.1/4","충청북도",57
"2016.1/4","충청남도",59
"2016.1/4","전북특별자치도",71
"2016.1/4","전라남도",27
"2016.1/4","경상북도",73
"2016.1/4","경상남도",104
"2016.1/4","제주특별자치도",26
"2016.2/4","계",2212
"2016.2/4","서울특별시",524
"2016.2/4","부산광역시",150
"2016.2/4","대구광역시",113
"2016.2/4","인천광역시",146
"2016.2/4","광주광역시",50
"2016.2/4","대전광역시",63
"2016.2/4","울산광역시",40
"2016.2/4","세종특별자치시",13
"2016.2/4","경기도",649
"2016.2/4","강원특별자치도",49
"2016.2/4","충청북도",57
"2016.2/4","충청남도",59
"2016.2/4","전북특별자치도",70
"2016.2/4","전라남도",27
"2016.2/4","경상북도",73
"2016.2/4","경상남도",103
"2016.2/4","제주특별자치도",26
"2016.3/4","계",2222
"2016.3/4","서울특별시",521
"2016.3/4","부산광역시",148
"2016.3/4","대구광역시",114
"2016.3/4","인천광역시",147
"2016.3/4","광주광역시",49
"2016.3/4","대전광역시",64
"2016.3/4","울산광역시",39
"2016.3/4","세종특별자치시",13
"2016.3/4","경기도",661
"2016.3/4","강원특별자치도",49
"2016.3/4","충청북도",55
"2016.3/4","충청남도",59
"2016.3/4","전북특별자치도",71
"2016.3/4","전라남도",27
"2016.3/4","경상북도",74
"2016.3/4","경상남도",105
"2016.3/4","제주특별자치도",26
"2016.4/4","계",2226
"2016.4/4","서울특별시",520
"2016.4/4","부산광역시",148
"2016.4/4","대구광역시",115
"2016.4/4","인천광역시",148
"2016.4/4","광주광역시",46
"2016.4/4","대전광역시",64
"2016.4/4","울산광역시",38
"2016.4/4","세종특별자치시",13
"2016.4/4","경기도",669
"2016.4/4","강원특별자치도",49
"2016.4/4","충청북도",54
"2016.4/4","충청남도",58
"2016.4/4","전북특별자치도",72
"2016.4/4","전라남도",27
"2016.4/4","경상북도",74
"2016.4/4","경상남도",105
