연도별,시도별,소아청소년과
2015,전국,2207.25
2015,경기도,644.0
2015,서울특별시,520.75
2015,부산광역시,152.75
2015,인천광역시,143.25
2015,대구광역시,111.25
2015,경상남도,106.75
2015,전북특별자치도,72.75
2015,경상북도,71.0
2015,대전광역시,65.5
2015,충청남도,59.25
2015,광주광역시,53.0
2015,충청북도,52.5
2015,강원특별자치도,47.75
2015,울산광역시,40.5
2015,전라남도,28.75
2015,제주특별자치도,26.75
2015,세종특별자치시,10.75
2016,전국,2219.5
2016,경기도,657.25
2016,서울특별시,522.25
2016,부산광역시,149.75
2016,인천광역시,146.75
2016,대구광역시,112.75
2016,경상남도,104.25
2016,경상북도,73.5
2016,전북특별자치도,71.0
2016,대전광역시,64.25
2016,충청남도,58.75
2016,충청북도,55.75
2016,강원특별자치도,49.0
2016,광주광역시,49.0
2016,울산광역시,39.25
2016,전라남도,27.0
2016,제주특별자치도,26.0
2016,세종특별자치시,13.0
2017,전국,2238.0
2017,경기도,673.0
2017,서울특별시,522.0
2017,인천광역시,149.5
2017,부산광역시,145.75
2017,대구광역시,116.25
2017,경상남도,104.25
2017,전북특별자치도,73.0
2017,경상북도,71.75
2017,대전광역시,65.25
2017,충청남도,61.25
2017,충청북도,53.25
2017,강원특별자치도,49.75
2017,광주광역시,45.75
2017,울산광역시,36.5
2017,전라남도,28.0
2017,제주특별자치도,26.75
2017,세종특별자치시,16.0
2018,전국,2224.5
2018,경기도,671.75
2018,서울특별시,513.0
2018,인천광역시,149.75
2018,부산광역시,138.0
2018,대구광역시,113.25
2018,경상남도,105.0
2018,전북특별자치도,74.75
2018,경상북도,72.75
2018,대전광역시,64.5
2018,충청남도,63.0
2018,충청북도,51.75
2018,강원특별자치도,51.0
2018,광주광역시,42.75
2018,울산광역시,36.25
2018,제주특별자치도,28.5
2018,전라남도,27.0
2018,세종특별자치시,21.5
2019,전국,2226.0
2019,경기도,683.75
2019,서울특별시,502.0
2019,인천광역시,149.25
2019,부산광역시,135.75
2019,대구광역시,113.5
2019,경상남도,103.0
2019,전북특별자치도,76.25
2019,경상북도,72.0
2019,대전광역시,62.75
2019,충청남도,62.25
2019,강원특별자치도,54.0
2019,충청북도,51.0
2019,광주광역시,46.0
2019,울산광역시,36.25
2019,제주특별자치도,30.0
2019,전라남도,27.0
2019,세종특별자치시,21.25
2020,전국,2186.25
2020,경기도,680.25
2020,서울특별시,486.5
2020,인천광역시,142.25
2020,부산광역시,129.25
2020,대구광역시,115.25
2020,경상남도,98.5
2020,경상북도,72.25
2020,전북특별자치도,70.5
2020,충청남도,64.75
2020,대전광역시,60.75
2020,강원특별자치도,56.5
2020,충청북도,51.0
2020,광주광역시,45.0
2020,울산광역시,33.75
2020,제주특별자치도,33.0
2020,전라남도,25.0
2020,세종특별자치시,21.75
2021,전국,2122.25
2021,경기도,661.0
2021,서울특별시,459.75
2021,인천광역시,136.75
2021,부산광역시,132.75
2021,대구광역시,113.0
2021,경상남도,92.25
2021,경상북도,70.25
2021,전북특별자치도,66.0
2021,충청남도,64.25
2021,대전광역시,58.5
2021,강원특별자치도,54.75
2021,충청북도,53.75
2021,광주광역시,43.25
2021,제주특별자치도,34.0
2021,울산광역시,33.5
2021,전라남도,26.25
2021,세종특별자치시,22.25
2022,전국,2119.75
2022,경기도,658.75
2022,서울특별시,454.0
2022,인천광역시,139.75
2022,부산광역시,135.0
2022,대구광역시,115.25
2022,경상남도,92.0
2022,경상북도,70.5
2022,충청남도,65.25
2022,전북특별자치도,65.0
2022,대전광역시,58.25
2022,강원특별자치도,56.5
2022,충청북도,54.25
2022,광주광역시,40.75
2022,제주특별자치도,34.5
2022,울산광역시,32.0
2022,전라남도,26.0
2022,세종특별자치시,22.0
2023,전국,2146.75
2023,경기도,674.75
2023,서울특별시,452.25
2023,인천광역시,140.5
2023,부산광역시,136.25
2023,대구광역시,115.25
2023,경상남도,93.5
2023,경상북도,69.25
2023,전북특별자치도,65.75
2023,충청남도,65.25
2023,대전광역시,57.25
2023,강원특별자치도,57.0
2023,충청북도,56.0
2023,광주광역시,42.5
2023,제주특별자치도,36.5
2023,울산광역시,33.5
2023,세종특별자치시,25.75
2023,전라남도,25.5
2024,전국,2184.75
2024,경기도,696.25
2024,서울특별시,457.25
2024,인천광역시,144.25
2024,부산광역시,140.75
2024,대구광역시,116.25
2024,경상남도,96.5
2024,경상북도,72.25
2024,전북특별자치도,66.25
2024,충청남도,64.5
2024,강원특별자치도,56.25
2024,대전광역시,56.25
2024,충청북도,56.0
2024,광주광역시,41.5
2024,제주특별자치도,35.0
2024,울산광역시,33.25
2024,세종특별자치시,27.0
2024,전라남도,25.25
2025,전국,2173.25
2025,경기도,694.5
2025,서울특별시,454.25
2025,인천광역시,144.0
2025,부산광역시,140.75
2025,대구광역시,119.0
2025,경상남도,96.25
2025,경상북도,71.25
2025,전북특별자치도,65.0
2025,충청남도,62.75
2025,대전광역시,56.25
2025,충청북도,56.25
2025,강원특별자치도,56.0
2025,광주광역시,39.5
2025,제주특별자치도,34.75
2025,울산광역시,32.0
2025,세종특별자치시,26.5
2025,전라남도,24.25
