연도,시도,노인여가복지시설_경로당,노인여가복지시설_복지관,재가노인복지시설_방문요양서비스_시설수,재가노인복지시설_방문요양서비스_정원,재가노인복지시설_방문요양서비스_현원,재가노인복지시설_주야간보호서비스_시설수,재가노인복지시설_주야간보호서비스_정원,재가노인복지시설_주야간보호서비스_현원,재가노인복지시설_단기보호서비스_시설수,재가노인복지시설_단기보호서비스_정원,재가노인복지시설_단기보호서비스_현원,재가노인복지시설_방문목욕서비스_시설수,재가노인복지시설_방문목욕서비스_정원,재가노인복지시설_방문목욕서비스_현원,재가노인복지시설_방문간호서비스_시설수,재가노인복지시설_방문간호서비스_정원,재가노인복지시설_방문간호서비스_현원,재가노인복지시설_재가노인지원서비스_시설수,재가노인복지시설_재가노인지원서비스_정원,재가노인복지시설_재가노인지원서비스_현원,노인보호전문기관_시설수,노인일자리지원기관_시설수,노인복지시설_합계
2015,서울특별시,3333,74,120,0,2365,263,5735,5135,61,754,574,82,0,558,0,0,0,6,0,570,2,7,3948
2015,부산광역시,2235,24,63,0,1097,50,870,707,0,0,0,23,0,202,0,0,0,29,0,2143,2,15,2441
2015,대구광역시,1437,14,42,0,792,34,624,463,1,3,0,20,0,25,0,0,0,51,0,6341,2,8,1609
2015,인천광역시,1445,18,52,0,1091,17,362,284,4,39,18,39,0,240,0,0,0,21,0,1781,1,1,1598
2015,광주광역시,1297,11,112,0,2969,54,984,693,1,4,0,71,0,695,0,0,0,9,0,519,1,5,1561
2015,대전광역시,801,7,33,0,646,42,885,586,0,0,0,22,0,84,0,0,0,4,0,321,1,5,915
2015,울산광역시,774,11,19,0,450,9,176,158,0,0,0,7,0,12,0,0,0,15,0,1303,1,3,839
2015,세종특별자치시,423,0,3,0,66,3,86,76,1,3,0,1,0,3,0,0,0,0,0,0,0,0,431
2015,경기도,9248,54,130,0,3040,190,3811,3143,12,137,122,82,0,457,0,0,0,53,0,4598,3,16,9788
2015,강원특별자치도,3049,13,59,0,2327,51,1106,797,1,5,3,37,0,460,0,0,0,7,0,530,3,13,3233
2015,충청북도,4051,16,27,0,503,27,485,373,3,15,5,8,0,78,0,0,0,19,0,1902,2,11,4164
2015,충청남도,5617,15,31,0,1019,31,745,499,7,56,12,23,0,102,0,0,0,23,0,1802,2,7,5756
2015,전북특별자치도,6567,22,90,0,3507,66,1375,948,2,15,0,38,0,410,0,0,0,8,0,461,2,13,6808
2015,전라남도,8837,31,101,0,2268,61,1060,770,3,15,0,66,0,1100,0,0,0,3,0,95,2,4,9108
2015,경상북도,7800,17,59,0,1215,48,969,578,13,92,62,46,0,459,0,0,0,36,0,2826,2,12,8033
2015,경상남도,7237,19,64,0,1483,45,895,723,3,19,1,38,0,595,0,0,0,48,0,3943,2,7,7463
2015,제주특별자치도,417,1,16,0,437,16,299,244,0,0,0,14,0,75,0,0,0,0,0,0,1,2,467
2016,서울특별시,3369,76,102,0,2320,277,6369,5698,48,565,461,71,0,632,0,0,0,9,0,1046,2,7,3961
2016,부산광역시,2247,25,65,0,1293,56,1083,866,0,0,0,26,0,109,0,0,0,48,0,3579,2,16,2485
