시도,60세이상 주민등록인구(B),노인여가복지시설수(A),노인천명당 노인여가복지시설수(A÷B×1000)
강원특별자치도,529090.0,3444.0,6.5
경기도,3328978.0,10499.0,3.2
경상남도,993526.0,7688.0,7.7
경상북도,898500.0,8208.0,9.1
광주광역시,351707.0,1440.0,4.1
대구광역시,695405.0,1895.0,2.7
대전광역시,370731.0,878.0,2.4
부산광역시,1066008.0,2607.0,2.4
서울특별시,2506338.0,4075.0,1.6
세종특별자치시,66670.0,529.0,7.9
울산광역시,285966.0,888.0,3.1
인천광역시,787566.0,1624.0,2.1
전라남도,651577.0,9340.0,14.3
전북특별자치도,591893.0,6961.0,11.8
제주특별자치도,180104.0,502.0,2.8
충청남도,655508.0,6049.0,9.2
충청북도,488859.0,4308.0,8.8
